p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
3,10,15,15.10.a.a,13,1,-2,2,4,2:[1:1],1,1
5,10,15,15.10.a.a,44,1,-2,1,3,2:[1:4];7:[1:0],1,1
3,10,15,15.10.a.b,44,-1,-2,-1,1,2:[1:2],1,1
5,10,15,15.10.a.b,13,-1,-2,0,2,2:[1:3];7:[1:3],1,1
3,10,15,15.10.a.c,1,1,-1,-1,0,2:[1:0],1,1
3,10,15,15.10.a.c,1,1,-2,-1,1,2:[1:2],1,1
5,10,15,15.10.a.c,8,-1,-1,1,2,2:[1:2];7:[1:2],1,1
5,10,15,15.10.a.c,8,-1,-2,1,3,2:[1:4];7:[1:0],1,1
3,10,15,15.10.a.d,8,-1,-1,-1,0,2:[1:1],1,1
3,10,15,15.10.a.d,8,-1,-2,0,2,2:[1:1],1,1
5,10,15,15.10.a.d,1,1,1,1,0,2:[1:1];7:[1:0],1,1
5,10,15,15.10.a.d,1,1,-2,0,2,2:[1:3];7:[1:3],1,1
3,12,15,15.12.a.a,44,-1,-4,1,5,2:[1:2],1,1
5,12,15,15.12.a.a,44,1,-2,3,5,2:[1:1];7:[1:1],1,1
3,12,15,15.12.a.c,8,-1,-4,2,6,2:[1:0],1,1
3,12,15,15.12.a.c,8,-1,9999,9999,2,2:[1:1],1,1
5,12,15,15.12.a.c,8,-1,-2,3,5,2:[1:1];7:[1:1],1,1
5,12,15,15.12.a.c,8,-1,-1,-1,0,2:[1:2];7:[1:0],1,1
3,12,15,15.12.a.b,13,1,9999,9999,10,2:[1:0],1,1
3,12,15,15.12.a.b,13,1,-1,1,2,2:[1:1],1,1
5,12,15,15.12.a.b,13,-1,-2,1,3,2:[1:3];7:[1:0],1,1
5,12,15,15.12.a.b,13,-1,-4,2,6,2:[1:4];7:[1:4],1,1
3,12,15,15.12.a.d,1,1,0,0,0,2:[1:0],1,1
3,12,15,15.12.a.d,1,1,-4,-1,3,2:[1:2],1,1
3,12,15,15.12.a.d,1,1,-1,-1,0,2:[1:2],1,1
5,12,15,15.12.a.d,1,1,-2,1,3,2:[1:3];7:[1:0],1,1
5,12,15,15.12.a.d,1,1,0,1,1,2:[1:4];7:[1:4],1,1
5,12,15,15.12.a.d,1,1,-4,0,4,2:[1:4];7:[1:4],1,1
3,14,15,15.14.a.a,13,1,-4,2,6,2:[1:1],1,1
5,14,15,15.14.a.a,44,1,-2,2,4,2:[1:1];7:[1:0],1,1
3,14,15,15.14.a.b,44,-1,-4,-1,3,2:[1:2],1,1
3,14,15,15.14.a.b,44,-1,0,2,2,2:[1:2],1,1
5,14,15,15.14.a.b,13,-1,-3,0,3,2:[1:2];7:[1:2],1,1
5,14,15,15.14.a.b,13,-1,-4,2,6,2:[1:4];7:[1:0],1,1
3,14,15,15.14.a.c,1,1,-4,-1,3,2:[1:2],1,1
3,14,15,15.14.a.c,1,1,-1,1,2,2:[1:2],1,1
5,14,15,15.14.a.c,8,-1,-2,2,4,2:[1:1];7:[1:0],1,1
5,14,15,15.14.a.c,8,-1,-1,0,1,2:[1:3];7:[1:3],1,1
3,14,15,15.14.a.d,8,-1,-1,2,3,2:[1:0],1,1
3,14,15,15.14.a.d,8,-1,0,0,0,2:[1:1],1,1
3,14,15,15.14.a.d,8,-1,-4,0,4,2:[1:1],1,1
5,14,15,15.14.a.d,1,1,-3,0,3,2:[1:2];7:[1:2],1,1
5,14,15,15.14.a.d,1,1,-1,-1,0,2:[1:4];7:[1:0],1,1
5,14,15,15.14.a.d,1,1,-4,0,4,2:[1:4];7:[1:0],1,1
3,16,15,15.16.a.a,13,1,-4,0,4,2:[1:1],1,1
3,16,15,15.16.a.a,13,1,-3,2,5,2:[1:1],1,1
5,16,15,15.16.a.a,13,-1,-4,3,7,2:[1:1];7:[1:1],1,1
5,16,15,15.16.a.a,13,-1,-3,-1,2,2:[1:2];7:[1:0],1,1
3,16,15,15.16.a.b,44,-1,-4,3,7,2:[1:0],1,1
3,16,15,15.16.a.b,44,-1,-3,1,4,2:[1:2],1,1
5,16,15,15.16.a.b,44,1,-4,2,6,2:[1:3];7:[1:0],1,1
5,16,15,15.16.a.b,44,1,-1,3,4,2:[1:4];7:[1:4],1,1
3,16,15,15.16.a.c,8,-1,1,3,2,2:[1:0],1,1
3,16,15,15.16.a.c,8,-1,-4,0,4,2:[1:1],1,1
3,16,15,15.16.a.c,8,-1,9999,9999,9,2:[1:1],1,1
5,16,15,15.16.a.c,8,-1,-4,0,4,2:[1:3];7:[1:0],1,1
5,16,15,15.16.a.c,8,-1,-1,-1,0,2:[1:3];7:[1:0],1,1
5,16,15,15.16.a.c,8,-1,-1,3,4,2:[1:4];7:[1:4],1,1
3,16,15,15.16.a.d,1,1,-4,-1,3,2:[1:0],1,1
3,16,15,15.16.a.d,1,1,1,1,0,2:[1:2],1,1
3,16,15,15.16.a.d,1,1,-3,-1,2,2:[1:2],1,1
5,16,15,15.16.a.d,1,1,-1,-1,0,2:[1:1];7:[1:1],1,1
5,16,15,15.16.a.d,1,1,-4,1,5,2:[1:1];7:[1:1],1,1
5,16,15,15.16.a.d,1,1,-3,-1,2,2:[1:2];7:[1:0],1,1
3,18,15,15.18.a.a,13,1,-4,1,5,2:[1:1],2,1
5,18,15,15.18.a.a,44,1,-5,3,8,2:[1:2];7:[1:2],1,1
5,18,15,15.18.a.a,44,1,-2,1,3,2:[1:4];7:[1:0],1,1
3,18,15,15.18.a.c,1,1,-4,-1,3,2:[1:0],1,1
3,18,15,15.18.a.c,1,1,-2,-1,1,2:[1:2],1,1
3,18,15,15.18.a.c,1,1,-4,-1,3,2:[1:2],1,1
5,18,15,15.18.a.c,8,-1,-5,1,6,2:[1:2];7:[1:2],1,1
5,18,15,15.18.a.c,8,-1,-1,0,1,2:[1:2];7:[1:2],1,1
5,18,15,15.18.a.c,8,-1,-2,1,3,2:[1:4];7:[1:0],1,1
3,18,15,15.18.a.b,44,-1,-4,1,5,2:[1:0],1,1
3,18,15,15.18.a.b,44,-1,-1,0,1,2:[1:2],1,1
3,18,15,15.18.a.b,44,-1,-4,-1,3,2:[1:2],1,1
5,18,15,15.18.a.b,13,-1,-4,2,6,2:[1:1];7:[1:0],1,1
5,18,15,15.18.a.b,13,-1,-6,1,7,2:[1:3];7:[1:3],1,1
5,18,15,15.18.a.b,13,-1,-3,0,3,2:[1:3];7:[1:3],1,1
3,18,15,15.18.a.d,8,-1,-2,1,3,2:[1:0],1,1
3,18,15,15.18.a.d,8,-1,-4,-1,3,2:[1:1],2,1
3,18,15,15.18.a.d,8,-1,0,0,0,2:[1:1],1,1
5,18,15,15.18.a.d,1,1,-1,-1,0,2:[1:1];7:[1:0],1,1
5,18,15,15.18.a.d,1,1,-4,0,4,2:[1:1];7:[1:0],1,1
5,18,15,15.18.a.d,1,1,-6,1,7,2:[1:3];7:[1:3],1,1
5,18,15,15.18.a.d,1,1,-3,0,3,2:[1:3];7:[1:3],1,1
3,22,15,15.22.a.a,1,1,-3,-1,2,2:[1:2],1,1
5,22,15,15.22.a.a,8,-1,-2,2,4,2:[1:1];7:[1:0],1,1
3,4,15,15.4.a.a,1,1,0,0,0,2:[1:2],1,1
5,4,15,15.4.a.a,1,1,0,0,0,2:[1:4];7:[1:4],1,1
3,4,15,15.4.a.b,8,-1,9999,9999,2,2:[1:0],1,1
5,4,15,15.4.a.b,8,-1,0,0,0,2:[1:2];7:[1:0],1,1
3,30,15,15.30.a.a,13,1,-9,7,16,2:[1:0],1,1
3,30,15,15.30.a.a,13,1,-5,0,5,2:[1:1],1,1
3,30,15,15.30.a.a,13,1,-4,0,4,2:[1:1],1,1
3,30,15,15.30.a.a,13,1,-7,3,10,2:[1:1],1,1
5,30,15,15.30.a.a,44,1,-2,1,3,2:[1:1];7:[1:0],1,1
5,30,15,15.30.a.a,44,1,-6,1,7,2:[1:1];7:[1:0],1,1
5,30,15,15.30.a.a,44,1,-10,2,12,2:[1:3];7:[1:3],1,1
5,30,15,15.30.a.a,44,1,-4,3,7,2:[1:3];7:[1:3],1,1
3,6,15,15.6.a.a,44,-1,0,1,1,2:[1:2],1,1
5,6,15,15.6.a.a,13,-1,-1,1,2,2:[1:2];7:[1:2],1,1
3,6,15,15.6.a.b,1,1,-1,0,1,2:[1:2],1,1
5,6,15,15.6.a.b,8,-1,0,1,1,2:[1:3];7:[1:3],1,1
3,22,15,15.22.a.c,44,-1,-4,4,8,2:[1:2],1,1
3,22,15,15.22.a.c,44,-1,-6,-1,5,2:[1:2],1,1
3,22,15,15.22.a.c,44,-1,-3,-1,2,2:[1:2],1,1
5,22,15,15.22.a.c,13,-1,-7,0,7,2:[1:2];7:[1:2],1,1
5,22,15,15.22.a.c,13,-1,-2,1,3,2:[1:2];7:[1:2],1,1
5,22,15,15.22.a.c,13,-1,-5,2,7,2:[1:4];7:[1:0],1,1
3,6,15,15.6.a.c,8,-1,-1,1,2,2:[1:0],1,1
3,6,15,15.6.a.c,8,-1,9999,9999,0,2:[1:1],1,1
5,6,15,15.6.a.c,1,1,-1,1,2,2:[1:2];7:[1:2],1,1
5,6,15,15.6.a.c,1,1,0,0,0,2:[1:4];7:[1:0],1,1
3,22,15,15.22.a.d,1,1,-2,-2,0,2:[1:0],1,1
3,22,15,15.22.a.d,1,1,-4,2,6,2:[1:2],1,1
3,22,15,15.22.a.d,1,1,-6,-1,5,2:[1:2],1,1
5,22,15,15.22.a.d,8,-1,-6,2,8,2:[1:1];7:[1:0],1,1
5,22,15,15.22.a.d,8,-1,-1,2,3,2:[1:3];7:[1:3],1,1
5,22,15,15.22.a.d,8,-1,-4,2,6,2:[1:3];7:[1:3],1,1
3,8,15,15.8.a.b,8,-1,9999,9999,3,2:[1:1],1,1
5,8,15,15.8.a.b,8,-1,0,0,0,2:[1:3];7:[1:0],1,1
3,8,15,15.8.a.a,13,1,-1,2,3,2:[1:1],1,1
5,8,15,15.8.a.a,13,-1,-2,0,2,2:[1:2];7:[1:0],1,1
3,8,15,15.8.a.c,1,1,0,1,1,2:[1:0],1,1
3,8,15,15.8.a.c,1,1,-1,-1,0,2:[1:2],1,1
5,8,15,15.8.a.c,1,1,0,0,0,2:[1:1];7:[1:1],1,1
5,8,15,15.8.a.c,1,1,-2,0,2,2:[1:2];7:[1:0],1,1
3,30,15,15.30.a.b,1,1,-4,-2,2,2:[1:0],1,1
3,30,15,15.30.a.b,1,1,-9,0,9,2:[1:2],1,1
3,30,15,15.30.a.b,1,1,-2,-1,1,2:[1:2],1,1
3,30,15,15.30.a.b,1,1,-7,-1,6,2:[1:2],1,1
