p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
3,4,105,105.4.a.c,8,-1,9999,9999,1,2:[1:1:2];11:[1:2:2];13:[1:1:2];17:[1:2:2];19:[1:0:1];23:[1:2:2];29:[1:1];31:[1:0],1,2
5,4,105,105.4.a.c,8,-1,0,1,1,2:[1:2:3];11:[1:3];13:[1:1:2];17:[1:4:2];19:[1:1:1];23:[1:1:1];29:[1:2:3];31:[1:0:3];37:[1:2:3];41:[1:0];43:[1:1:2];47:[1:3:4];53:[1:1:1];59:[1:1:1];61:[1:3:4],1,2
7,4,105,105.4.a.c,13,-1,0,0,0,2:[1:0:1];11:[1:5:3];13:[1:0:1];17:[1:6];19:[1:1:6];23:[1:6];29:[1:2];31:[1:6:4];37:[1:6:4];41:[1:5];43:[1:0:4];47:[1:2:3];53:[1:1:4];59:[1:0:1];61:[1:3];67:[1:2];71:[1:1:3];73:[1:6:4];79:[1:5:3];83:[1:5:5];89:[1:3];97:[1:1:3],1,2
3,6,105,105.6.a.e,17,-1,-1,0,1,2:[1:2:2];11:[1:1:2];13:[1:1:2];17:[1:1:2];19:[1:0:1];23:[1:1:2];29:[1:2];31:[1:0],1,2
5,6,105,105.6.a.e,17,-1,0,1,1,2:[1:4:2];11:[1:3];13:[1:3:3];17:[1:3:3];19:[1:4:1];23:[1:3:4];29:[1:3:3];31:[1:0:3];37:[1:4:2];41:[1:0];43:[1:3:3];47:[1:1:1];53:[1:3:4];59:[1:4:1];61:[1:3:4],1,2
7,6,105,105.6.a.e,17,-1,-1,1,2,2:[1:1];11:[1:5];13:[1:4];17:[1:6];19:[1:4];23:[1:2];29:[1:1];31:[1:2];37:[1:0];41:[1:1];43:[1:6];47:[1:1];53:[1:6];59:[1:5];61:[1:0];67:[1:0];71:[1:1];73:[1:2];79:[1:4];83:[1:2];89:[1:1];97:[1:1],1,1
7,6,105,105.6.a.e,17,-1,-1,1,2,2:[1:5];11:[1:2];13:[1:6];17:[1:0];19:[1:5];23:[1:0];29:[1:1];31:[1:4];37:[1:5];41:[1:4];43:[1:6];47:[1:6];53:[1:1];59:[1:6];61:[1:0];67:[1:0];71:[1:6];73:[1:5];79:[1:4];83:[1:6];89:[1:5];97:[1:2],1,1
3,6,105,105.6.a.d,37,1,9999,9999,4,2:[1:0];11:[1:0];13:[1:1];17:[1:0];19:[1:1];23:[1:0];29:[1:0];31:[1:1],1,1
3,6,105,105.6.a.d,37,1,9999,9999,1,2:[1:1];11:[1:0];13:[1:0];17:[1:2];19:[1:2];23:[1:2];29:[1:1];31:[1:2],1,1
5,6,105,105.6.a.d,17,-1,-1,0,1,2:[1:1:2];11:[1:3];13:[1:2:3];17:[1:2:3];19:[1:4:1];23:[1:2:4];29:[1:3:3];31:[1:0:3];37:[1:1:2];41:[1:0];43:[1:2:3];47:[1:4:1];53:[1:2:4];59:[1:4:1];61:[1:3:4],1,2
