p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
3,22,21,21.22.a.a,13,1,-2,-1,1,2:[1:0];5:[1:0],1,1
3,22,21,21.22.a.a,13,1,-4,5,9,2:[1:0];5:[1:0],1,1
3,22,21,21.22.a.a,13,1,-4,4,8,2:[1:0];5:[1:0],2,1
7,22,21,21.22.a.a,8,1,-6,7,13,2:[1:1];5:[1:2];11:[1:1];13:[1:0],1,1
7,22,21,21.22.a.a,8,1,-6,2,8,2:[1:2];5:[1:4];11:[1:5];13:[1:2],1,1
7,22,21,21.22.a.a,8,1,-4,1,5,2:[1:3];5:[1:4];11:[1:1];13:[1:6],1,1
7,22,21,21.22.a.a,8,1,-2,1,3,2:[1:3];5:[1:4];11:[1:1];13:[1:6],1,1
3,22,21,21.22.a.b,5,-1,-4,3,7,2:[1:0];5:[1:0],1,1
3,22,21,21.22.a.b,5,-1,-2,-1,1,2:[1:0];5:[1:0],2,1
3,22,21,21.22.a.b,5,-1,-4,3,7,2:[1:0];5:[1:0],2,1
7,22,21,21.22.a.b,1,1,-2,1,3,2:[1:1];5:[1:5];11:[1:1];13:[1:0],1,1
7,22,21,21.22.a.b,1,1,-4,-1,3,2:[1:2];5:[1:3];11:[1:5];13:[1:5],1,1
7,22,21,21.22.a.b,1,1,-1,0,1,2:[1:3];5:[1:3];11:[1:1];13:[1:1],1,1
7,22,21,21.22.a.b,1,1,-6,1,7,2:[1:3];5:[1:3];11:[1:1];13:[1:1],1,2
3,4,21,21.4.a.a,8,-1,9999,9999,1,2:[1:0];5:[1:0],1,1
7,4,21,21.4.a.a,8,1,0,1,1,2:[1:3];5:[1:4];11:[1:1];13:[1:6],1,1
3,4,21,21.4.a.b,5,-1,0,0,0,2:[1:2];5:[1:1],1,1
7,4,21,21.4.a.b,5,-1,9999,9999,1,2:[1:3];5:[1:4];11:[1:1];13:[1:6],1,1
3,4,21,21.4.a.c,1,1,0,0,0,2:[1:0];5:[1:0],2,1
7,4,21,21.4.a.c,1,1,0,0,0,2:[1:1];5:[1:5];11:[1:1];13:[1:0],1,1
7,4,21,21.4.a.c,1,1,0,0,0,2:[1:2];5:[1:3];11:[1:5];13:[1:5],1,1
3,6,21,21.6.a.b,8,-1,-1,0,1,2:[1:2];5:[1:1],1,1
7,6,21,21.6.a.b,13,-1,0,1,1,2:[1:6];5:[1:6];11:[1:4];13:[1:1],1,1
3,22,21,21.22.a.c,8,-1,-3,2,5,2:[1:1];5:[1:2],1,1
3,22,21,21.22.a.c,8,-1,-6,1,7,2:[1:1];5:[1:2],1,1
3,22,21,21.22.a.c,8,-1,-3,-1,2,2:[1:2];5:[1:1],1,1
3,22,21,21.22.a.c,8,-1,-6,-1,5,2:[1:2];5:[1:1],1,1
3,22,21,21.22.a.c,8,-1,-4,2,6,2:[1:2];5:[1:1],1,1
7,22,21,21.22.a.c,13,-1,-2,1,3,2:[1:1];5:[1:5];11:[1:1];13:[1:0],1,1
