p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
5,35,2,35.2.a.a,100000,100000,0,97,-1,2:[1:0];3:[1:4];11:[1:3];13:[1:0];17:[1:2];19:[1:3];23:[1:1],1,1
7,35,2,35.2.a.a,100000,100000,0,109,1,2:[1:0];3:[1:6];11:[1:3];13:[1:2];17:[1:4];19:[1:5];23:[1:6],1,1
5,35,2,35.2.a.b,100000,100000,0,109,1,2:[1:1:1];3:[1:1:1];11:[1:4:1];13:[1:0:2];17:[1:0:2];19:[1:1:2];23:[1:2:4],1,2
7,35,2,35.2.a.b,100000,100000,0,97,-1,2:[1:1:3];3:[1:1:3];11:[1:6:3];13:[1:2:2];17:[1:5:2];19:[1:6:6];23:[1:2:5],1,2
5,35,4,35.4.a.a,0,1,1,-8,-1,2:[1:4];3:[1:3];11:[1:3];13:[1:3];17:[1:4];19:[1:0];23:[1:3],1,1
7,35,4,35.4.a.a,0,1,1,-19,1,2:[1:6];3:[1:1];11:[1:2];13:[1:1];17:[1:3];19:[1:2];23:[1:3],1,1
5,35,4,35.4.a.b,0,0,0,-3,-1,2:[1:2:4];3:[1:3:4];11:[1:4:1];13:[1:0:3];17:[1:0:3];19:[1:4:2];23:[1:1:1],1,2
7,35,4,35.4.a.b,0,0,0,-4,-1,2:[1:0];3:[1:4];11:[1:5];13:[1:5];17:[1:5];19:[1:4];23:[1:5],1,1
7,35,4,35.4.a.b,0,1,1,-4,-1,2:[1:6];3:[1:1];11:[1:2];13:[1:1];17:[1:3];19:[1:2];23:[1:3],1,1
5,35,4,35.4.a.c,0,0,0,-4,1,2:[1:0];3:[1:2];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3],1,1
5,35,4,35.4.a.c,0,1,1,-4,1,2:[1:4];3:[1:3];11:[1:3];13:[1:3];17:[1:4];19:[1:0];23:[1:3],2,1
7,35,4,35.4.a.c,0,1,1,-3,1,2:[1:1];3:[1:2];11:[1:1];13:[1:0];17:[1:2];19:[1:5];23:[1:1],1,1
7,35,4,35.4.a.c,0,0,0,-3,1,2:[1:2:5];3:[1:3:6];11:[1:3:6];13:[1:5:2];17:[1:1:4];19:[1:2:3];23:[1:4:6],1,2
5,35,6,35.6.a.a,0,1,1,24,1,2:[1:3];3:[1:4];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4],1,1
7,35,6,35.6.a.a,-1,1,2,8,1,2:[1:1];3:[1:6];11:[1:5];13:[1:3];17:[1:1];19:[1:3];23:[1:2],1,1
5,35,6,35.6.a.b,-1,1/2,3/2,8,-1,2:[1:2];3:[1:1];11:[1:3];13:[1:1];17:[1:2];19:[1:0];23:[1:1],2,1
7,35,6,35.6.a.b,-1,0,1,24,-1,2:[1:1];3:[1:1];11:[1:5];13:[1:4];17:[1:6];19:[1:4];23:[1:2],1,1
7,35,6,35.6.a.b,0,1,1,24,-1,2:[1:5];3:[1:3];11:[1:1];13:[1:6];17:[1:2];19:[1:3];23:[1:6],1,1
5,35,6,35.6.a.c,0,0,0,12,-1,2:[1:0];3:[1:1];11:[1:3];13:[1:0];17:[1:3];19:[1:3];23:[1:4],1,1
5,35,6,35.6.a.c,0,1,1,12,-1,2:[1:3];3:[1:4];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4],2,1
7,35,6,35.6.a.c,0,0,0,1,1,2:[1:0];3:[1:5];11:[1:6];13:[1:2];17:[1:1];19:[1:6];23:[1:3],1,1
7,35,6,35.6.a.c,-1,0,1,1,1,2:[1:1];3:[1:1];11:[1:5];13:[1:4];17:[1:6];19:[1:4];23:[1:2],1,1
7,35,6,35.6.a.c,0,1,1,1,1,2:[1:5];3:[1:3];11:[1:1];13:[1:6];17:[1:2];19:[1:3];23:[1:6],1,1
5,35,6,35.6.a.d,-1,1/2,3/2,1,1,2:[1:2];3:[1:1];11:[1:3];13:[1:1];17:[1:2];19:[1:0];23:[1:1],2,1
5,35,6,35.6.a.d,0,0,0,1,1,2:[1:4:1];3:[1:4:1];11:[1:4:1];13:[1:0:2];17:[1:0:2];19:[1:1:2];23:[1:3:4],1,2
7,35,6,35.6.a.d,-1,1,2,12,-1,2:[1:1];3:[1:6];11:[1:5];13:[1:3];17:[1:1];19:[1:3];23:[1:2],1,1
7,35,6,35.6.a.d,0,1,1,12,-1,2:[1:2];3:[1:6];11:[1:4];13:[1:0];17:[1:6];19:[1:4];23:[1:2],1,1
7,35,6,35.6.a.d,0,0,0,12,-1,2:[1:4:6];3:[1:2:5];11:[1:5:5];13:[1:2:2];17:[1:3:1];19:[1:3:5];23:[1:1:3],1,2
5,35,8,35.8.a.a,-2,0,2,-19,1,2:[1:0];3:[1:2];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3],1,1
5,35,8,35.8.a.a,-2,1,3,-19,1,2:[1:4];3:[1:3];11:[1:3];13:[1:3];17:[1:4];19:[1:0];23:[1:3],1,1
7,35,8,35.8.a.a,-1,1,2,-8,-1,2:[1:2];3:[1:4];11:[1:6];13:[1:4];17:[1:3];19:[1:1];23:[1:4],1,1
7,35,8,35.8.a.a,-2,0,2,-8,-1,2:[1:3];3:[1:5];11:[1:4];13:[1:6];17:[1:1];19:[1:6];23:[1:5],1,1
5,35,8,35.8.a.b,0,1,1,-8,-1,2:[1:1];3:[1:2];11:[1:3];13:[1:2];17:[1:1];19:[1:0];23:[1:2],1,1
5,35,8,35.8.a.b,-2,0,2,-8,-1,2:[1:2:4];3:[1:3:4];11:[1:4:1];13:[1:0:3];17:[1:0:3];19:[1:4:2];23:[1:1:1],1,2
7,35,8,35.8.a.b,-1,1,2,-19,1,2:[1:2];3:[1:3];11:[1:6];13:[1:3];17:[1:4];19:[1:6];23:[1:4],1,1
7,35,8,35.8.a.b,0,1,1,-19,1,2:[1:3];3:[1:2];11:[1:4];13:[1:1];17:[1:6];19:[1:1];23:[1:5],1,1
7,35,8,35.8.a.b,-2,1,3,-19,1,2:[1:4];3:[1:3];11:[1:2];13:[1:0];17:[1:3];19:[1:1];23:[1:4],1,1
5,35,8,35.8.a.c,-2,0,2,-3,-1,2:[1:0];3:[1:2];11:[1:3];13:[1:0];17:[1:4];19:[1:2];23:[1:3],1,1
5,35,8,35.8.a.c,-2,1,3,-3,-1,2:[1:4];3:[1:3];11:[1:3];13:[1:3];17:[1:4];19:[1:0];23:[1:3],1,1
5,35,8,35.8.a.c,0,0,0,-3,-1,2:[1:3:4];3:[1:2:4];11:[1:4:1];13:[1:0:3];17:[1:0:3];19:[1:4:2];23:[1:4:1],1,2
7,35,8,35.8.a.c,0,0,0,-4,-1,2:[1:0];3:[1:1];11:[1:3];13:[1:5];17:[1:3];19:[1:2];23:[1:6],1,1
7,35,8,35.8.a.c,-1,1,2,-4,-1,2:[1:2];3:[1:3];11:[1:6];13:[1:3];17:[1:4];19:[1:6];23:[1:4],1,1
7,35,8,35.8.a.c,0,1,1,-4,-1,2:[1:3];3:[1:2];11:[1:4];13:[1:1];17:[1:6];19:[1:1];23:[1:5],1,1
7,35,8,35.8.a.c,-2,1,3,-4,-1,2:[1:4];3:[1:3];11:[1:2];13:[1:0];17:[1:3];19:[1:1];23:[1:4],1,1
5,35,8,35.8.a.d,0,0,0,-4,1,2:[1:0];3:[1:3];11:[1:3];13:[1:0];17:[1:1];19:[1:2];23:[1:2],1,1
5,35,8,35.8.a.d,0,1,1,-4,1,2:[1:1];3:[1:2];11:[1:3];13:[1:2];17:[1:1];19:[1:0];23:[1:2],2,1
5,35,8,35.8.a.d,-2,0,2,-4,1,2:[1:2:4];3:[1:3:4];11:[1:4:1];13:[1:0:3];17:[1:0:3];19:[1:4:2];23:[1:1:1],1,2
7,35,8,35.8.a.d,-1,1,2,-83,1,2:[1:2];3:[1:4];11:[1:6];13:[1:4];17:[1:3];19:[1:1];23:[1:4],1,1
7,35,8,35.8.a.d,-2,0,2,-83,1,2:[1:3];3:[1:5];11:[1:4];13:[1:6];17:[1:1];19:[1:6];23:[1:5],1,1
7,35,8,35.8.a.d,100000,4,1,-83,1,2:[1:4];3:[1:4];11:[1:2];13:[1:0];17:[1:4];19:[1:6];23:[1:4],1,1
7,35,8,35.8.a.d,0,0,0,-83,1,2:[1:1:3];3:[1:6:3];11:[1:6:3];13:[1:5:2];17:[1:2:2];19:[1:1:6];23:[1:2:5],1,2
5,35,10,35.10.a.a,0,1,1,24,1,2:[1:2];3:[1:1];11:[1:3];13:[1:1];17:[1:2];19:[1:0];23:[1:1],1,1
7,35,10,35.10.a.a,-3,0,3,8,1,2:[1:0];3:[1:4];11:[1:5];13:[1:5];17:[1:5];19:[1:4];23:[1:5],1,1
5,35,10,35.10.a.b,-2,1,3,24,1,2:[1:4:1];3:[1:4:1];11:[1:4:1];13:[1:0:2];17:[1:0:2];19:[1:1:2];23:[1:3:4],1,2
7,35,10,35.10.a.b,-1,1,2,8,1,2:[1:4];3:[1:5];11:[1:3];13:[1:3];17:[1:2];19:[1:5];23:[1:1],1,1
7,35,10,35.10.a.b,-3,1,4,8,1,2:[1:6];3:[1:1];11:[1:2];13:[1:1];17:[1:3];19:[1:2];23:[1:3],1,1
5,35,10,35.10.a.c,-2,1,3,8,-1,2:[1:0];3:[1:1];11:[1:3];13:[1:0];17:[1:3];19:[1:3];23:[1:4],1,1
5,35,10,35.10.a.c,-2,0,2,8,-1,2:[1:3];3:[1:4];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4],1,1
5,35,10,35.10.a.c,-2,0,2,8,-1,2:[1:3];3:[1:4];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4],2,1
7,35,10,35.10.a.c,-1,0,1,24,-1,2:[1:4];3:[1:2];11:[1:3];13:[1:4];17:[1:5];19:[1:2];23:[1:1],1,1
7,35,10,35.10.a.c,0,1,1,24,-1,2:[1:6];3:[1:6];11:[1:2];13:[1:6];17:[1:4];19:[1:5];23:[1:3],1,1
7,35,10,35.10.a.c,-3,0,3,24,-1,2:[1:2:5];3:[1:3:6];11:[1:3:6];13:[1:5:2];17:[1:1:4];19:[1:2:3];23:[1:4:6],1,2
5,35,10,35.10.a.d,1,1,0,12,-1,2:[1:0];3:[1:4];11:[1:3];13:[1:0];17:[1:2];19:[1:3];23:[1:1],1,1
5,35,10,35.10.a.d,-1,0,1,12,-1,2:[1:2];3:[1:1];11:[1:3];13:[1:1];17:[1:2];19:[1:0];23:[1:1],1,2
5,35,10,35.10.a.d,-2,1,3,12,-1,2:[1:4:1];3:[1:4:1];11:[1:4:1];13:[1:0:2];17:[1:0:2];19:[1:1:2];23:[1:3:4],1,2
7,35,10,35.10.a.d,0,0,0,1,1,2:[1:0];3:[1:3];11:[1:5];13:[1:2];17:[1:2];19:[1:3];23:[1:5],1,1
7,35,10,35.10.a.d,-1,0,1,1,1,2:[1:4];3:[1:2];11:[1:3];13:[1:4];17:[1:5];19:[1:2];23:[1:1],1,1
7,35,10,35.10.a.d,0,1,1,1,1,2:[1:6];3:[1:6];11:[1:2];13:[1:6];17:[1:4];19:[1:5];23:[1:3],1,1
7,35,10,35.10.a.d,-3,0,3,1,1,2:[1:2:5];3:[1:3:6];11:[1:3:6];13:[1:5:2];17:[1:1:4];19:[1:2:3];23:[1:4:6],1,2
5,35,10,35.10.a.e,-2,1,3,1,1,2:[1:0];3:[1:1];11:[1:3];13:[1:0];17:[1:3];19:[1:3];23:[1:4],1,1
5,35,10,35.10.a.e,-2,0,2,1,1,2:[1:3];3:[1:4];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4],1,1
5,35,10,35.10.a.e,-2,0,2,1,1,2:[1:3];3:[1:4];11:[1:3];13:[1:4];17:[1:3];19:[1:0];23:[1:4],2,1
5,35,10,35.10.a.e,1,1,0,1,1,2:[1:1:1];3:[1:1:1];11:[1:4:1];13:[1:0:2];17:[1:0:2];19:[1:1:2];23:[1:2:4],1,2
7,35,10,35.10.a.e,-3,0,3,12,-1,2:[1:0];3:[1:4];11:[1:5];13:[1:5];17:[1:5];19:[1:4];23:[1:5],1,1
7,35,10,35.10.a.e,0,1,1,12,-1,2:[1:1];3:[1:5];11:[1:1];13:[1:0];17:[1:5];19:[1:2];23:[1:1],1,1
7,35,10,35.10.a.e,-1,1,2,12,-1,2:[1:4];3:[1:5];11:[1:3];13:[1:3];17:[1:2];19:[1:5];23:[1:1],1,1
7,35,10,35.10.a.e,-3,1,4,12,-1,2:[1:6];3:[1:1];11:[1:2];13:[1:1];17:[1:3];19:[1:2];23:[1:3],1,1
7,35,10,35.10.a.e,0,0,0,12,-1,2:[1:2:5];3:[1:4:6];11:[1:3:6];13:[1:2:2];17:[1:6:4];19:[1:5:3];23:[1:4:6],1,2
5,35,12,35.12.a.a,-2,1,3,-19,1,2:[1:0];3:[1:3];11:[1:3];13:[1:0];17:[1:1];19:[1:2];23:[1:2],1,1
5,35,12,35.12.a.a,-2,2,4,-19,1,2:[1:1];3:[1:2];11:[1:3];13:[1:2];17:[1:1];19:[1:0];23:[1:2],1,1
5,35,12,35.12.a.a,-2,2,4,-19,1,2:[1:1];3:[1:2];11:[1:3];13:[1:2];17:[1:1];19:[1:0];23:[1:2],2,1
7,35,12,35.12.a.a,-3,1,4,-8,-1,2:[1:0];3:[1:5];11:[1:6];13:[1:2];17:[1:1];19:[1:6];23:[1:3],1,1
7,35,12,35.12.a.a,-2,0,2,-8,-1,2:[1:1];3:[1:1];11:[1:5];13:[1:4];17:[1:6];19:[1:4];23:[1:2],1,1
7,35,12,35.12.a.a,-3,0,3,-8,-1,2:[1:5];3:[1:3];11:[1:1];13:[1:6];17:[1:2];19:[1:3];23:[1:6],1,2
5,35,12,35.12.a.b,-1,1,2,-8,-1,2:[1:4];3:[1:3];11:[1:3];13:[1:3];17:[1:4];19:[1:0];23:[1:3],1,1
5,35,12,35.12.a.b,-4,0,4,-8,-1,2:[1:4];3:[1:3];11:[1:3];13:[1:3];17:[1:4];19:[1:0];23:[1:3],2,1
5,35,12,35.12.a.b,-2,1,3,-8,-1,2:[1:3:4];3:[1:2:4];11:[1:4:1];13:[1:0:3];17:[1:0:3];19:[1:4:2];23:[1:4:1],1,2
7,35,12,35.12.a.b,-2,1,3,-19,1,2:[1:1];3:[1:6];11:[1:5];13:[1:3];17:[1:1];19:[1:3];23:[1:2],1,1
7,35,12,35.12.a.b,-3,0,3,-19,1,2:[1:2];3:[1:6];11:[1:4];13:[1:0];17:[1:6];19:[1:4];23:[1:2],1,1
7,35,12,35.12.a.b,0,1,1,-19,1,2:[1:5];3:[1:4];11:[1:1];13:[1:1];17:[1:5];19:[1:4];23:[1:6],1,1
