p,k,Nnew,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
2,26,2,2.26.a.a,-7,6,13,5,-1,3:[1:0];5:[1:0],1,1
2,26,2,2.26.a.b,-7,-2,5,1,1,3:[1:0];5:[1:0],1,1
2,26,2,2.26.a.b,-2,-2,0,1,1,3:[1:0];5:[1:0],1,1
2,46,2,2.46.a.b,-11,-3,8,1,1,3:[1:0];5:[1:0],1,1
2,46,2,2.46.a.b,-4,-1,3,1,1,3:[1:0];5:[1:0],1,1
2,84,2,2.84.a.a,-3,6,9,-3,-1,3:[1:0];5:[1:0],1,1
2,84,2,2.84.a.a,-15,3,18,-3,-1,3:[1:0];5:[1:0],1,1
2,84,2,2.84.a.a,-11,5,16,-3,-1,3:[1:0];5:[1:0],1,1
2,46,2,2.46.a.a,-11,3,14,5,-1,3:[1:0];5:[1:0],1,1
2,46,2,2.46.a.a,-4,5,9,5,-1,3:[1:0];5:[1:0],1,1
2,66,2,2.66.a.a,-8,8,16,5,-1,3:[1:0];5:[1:0],1,1
2,66,2,2.66.a.a,-12,9,21,5,-1,3:[1:0];5:[1:0],1,1
2,66,2,2.66.a.b,-8,0,8,1,1,3:[1:0];5:[1:0],1,1
2,66,2,2.66.a.b,-4,-4,0,1,1,3:[1:0];5:[1:0],1,1
2,66,2,2.66.a.b,-12,-1,11,1,1,3:[1:0];5:[1:0],1,1
2,8,2,2.8.a.a,9999,9999,4,-3,-1,3:[1:0];5:[1:0],1,1
2,86,2,2.86.a.b,-10,0,10,1,1,3:[1:0];5:[1:0],1,1
2,86,2,2.86.a.b,-16,-2,14,1,1,3:[1:0];5:[1:0],1,1
2,86,2,2.86.a.b,-6,-2,4,1,1,3:[1:0];5:[1:0],1,1
2,86,2,2.86.a.b,-19,-3,16,1,1,3:[1:0];5:[1:0],1,1
2,28,2,2.28.a.b,-6,9,15,-7,1,3:[1:0];5:[1:0],1,1
2,28,2,2.28.a.a,-6,3,9,-3,-1,3:[1:0];5:[1:0],1,1
2,48,2,2.48.a.a,-9,9,18,-7,1,3:[1:0];5:[1:0],1,1
2,48,2,2.48.a.b,-3,1,4,-3,-1,3:[1:0];5:[1:0],1,1
2,48,2,2.48.a.b,-9,1,10,-3,-1,3:[1:0];5:[1:0],1,1
2,142,2,2.142.a.b,-29,-4,25,1,1,3:[1:0];5:[1:0],1,1
2,142,2,2.142.a.b,-15,-2,13,1,1,3:[1:0];5:[1:0],1,1
2,142,2,2.142.a.b,-12,-1,11,1,1,3:[1:0];5:[1:0],1,1
2,142,2,2.142.a.b,-5,-2,3,1,1,3:[1:0];5:[1:0],1,1
2,142,2,2.142.a.b,-21,0,21,1,1,3:[1:0];5:[1:0],2,1
2,86,2,2.86.a.a,-10,6,16,5,-1,3:[1:0];5:[1:0],1,1
2,86,2,2.86.a.a,-16,4,20,5,-1,3:[1:0];5:[1:0],1,1
2,86,2,2.86.a.a,-6,4,10,5,-1,3:[1:0];5:[1:0],1,1
2,86,2,2.86.a.a,-19,3,22,5,-1,3:[1:0];5:[1:0],1,1
2,10,2,2.10.a.a,-1,-1,0,1,1,3:[1:0];5:[1:0],1,1
2,30,2,2.30.a.b,-5,-2,3,1,1,3:[1:0];5:[1:0],1,1
2,30,2,2.30.a.a,-5,4,9,5,-1,3:[1:0];5:[1:0],1,1
2,68,2,2.68.a.b,-6,11,17,-7,1,3:[1:0];5:[1:0],1,1
2,68,2,2.68.a.b,-12,12,24,-7,1,3:[1:0];5:[1:0],1,2
2,50,2,2.50.a.a,-9,6,15,5,-1,3:[1:0];5:[1:0],1,1
2,50,2,2.50.a.a,-12,7,19,5,-1,3:[1:0];5:[1:0],1,1
2,68,2,2.68.a.a,-6,5,11,-3,-1,3:[1:0];5:[1:0],1,1
2,68,2,2.68.a.a,-12,6,18,-3,-1,3:[1:0];5:[1:0],1,2
2,50,2,2.50.a.b,-9,-2,7,1,1,3:[1:0];5:[1:0],1,1
2,50,2,2.50.a.b,-3,-3,0,1,1,3:[1:0];5:[1:0],1,1
2,50,2,2.50.a.b,-12,-3,9,1,1,3:[1:0];5:[1:0],1,1
2,104,2,2.104.a.a,-21,12,33,-7,1,3:[1:0];5:[1:0],1,1
2,104,2,2.104.a.a,-14,11,25,-7,1,3:[1:0];5:[1:0],1,1
2,104,2,2.104.a.a,-18,10,28,-7,1,3:[1:0];5:[1:0],1,1
2,104,2,2.104.a.a,-7,12,19,-7,1,3:[1:0];5:[1:0],1,1
2,70,2,2.70.a.b,-7,0,7,1,1,3:[1:0];5:[1:0],1,1
2,70,2,2.70.a.b,-16,-3,13,1,1,3:[1:0];5:[1:0],1,1
2,70,2,2.70.a.b,-10,-1,9,1,1,3:[1:0];5:[1:0],1,1
2,32,2,2.32.a.a,-7,10,17,-7,1,3:[1:0];5:[1:0],1,1
2,104,2,2.104.a.b,-21,0,21,-3,-1,3:[1:0];5:[1:0],1,1
2,104,2,2.104.a.b,-4,0,4,-3,-1,3:[1:0];5:[1:0],1,1
2,104,2,2.104.a.b,-14,1,15,-3,-1,3:[1:0];5:[1:0],1,1
2,104,2,2.104.a.b,-18,2,20,-3,-1,3:[1:0];5:[1:0],1,1
2,104,2,2.104.a.b,-7,4,11,-3,-1,3:[1:0];5:[1:0],1,1
2,32,2,2.32.a.b,-7,2,9,-3,-1,3:[1:0];5:[1:0],1,1
2,32,2,2.32.a.b,-2,2,4,-3,-1,3:[1:0];5:[1:0],1,1
2,70,2,2.70.a.a,-7,6,13,5,-1,3:[1:0];5:[1:0],1,1
2,70,2,2.70.a.a,-16,3,19,5,-1,3:[1:0];5:[1:0],1,1
2,70,2,2.70.a.a,-10,5,15,5,-1,3:[1:0];5:[1:0],1,1
2,52,2,2.52.a.b,-11,9,20,-7,1,3:[1:0];5:[1:0],1,1
2,52,2,2.52.a.b,-4,11,15,-7,1,3:[1:0];5:[1:0],1,1
2,52,2,2.52.a.a,-11,3,14,-3,-1,3:[1:0];5:[1:0],1,1
2,52,2,2.52.a.a,-4,5,9,-3,-1,3:[1:0];5:[1:0],1,1
2,88,2,2.88.a.a,-14,10,24,-7,1,3:[1:0];5:[1:0],1,1
2,88,2,2.88.a.a,-17,10,27,-7,1,3:[1:0];5:[1:0],1,1
2,88,2,2.88.a.a,-9,12,21,-7,1,3:[1:0];5:[1:0],1,1
2,106,2,2.106.a.a,-14,7,21,5,-1,3:[1:0];5:[1:0],1,1
2,106,2,2.106.a.a,-21,8,29,5,-1,3:[1:0];5:[1:0],1,1
2,106,2,2.106.a.a,-17,5,22,5,-1,3:[1:0];5:[1:0],1,1
2,106,2,2.106.a.a,-10,4,14,5,-1,3:[1:0];5:[1:0],1,1
2,72,2,2.72.a.a,-8,12,20,-7,1,3:[1:0];5:[1:0],1,1
2,72,2,2.72.a.a,-12,13,25,-7,1,3:[1:0];5:[1:0],1,1
2,90,2,2.90.a.a,-7,6,13,5,-1,3:[1:0];5:[1:0],1,1
2,90,2,2.90.a.a,-18,4,22,5,-1,3:[1:0];5:[1:0],1,1
2,90,2,2.90.a.a,-14,6,20,5,-1,3:[1:0];5:[1:0],1,1
2,88,2,2.88.a.b,-4,0,4,-3,-1,3:[1:0];5:[1:0],1,1
2,88,2,2.88.a.b,-14,0,14,-3,-1,3:[1:0];5:[1:0],1,1
2,88,2,2.88.a.b,-17,2,19,-3,-1,3:[1:0];5:[1:0],1,1
2,88,2,2.88.a.b,-9,4,13,-3,-1,3:[1:0];5:[1:0],1,1
2,90,2,2.90.a.b,-7,-2,5,1,1,3:[1:0];5:[1:0],1,1
2,90,2,2.90.a.b,-18,-4,14,1,1,3:[1:0];5:[1:0],1,1
2,90,2,2.90.a.b,-14,-4,10,1,1,3:[1:0];5:[1:0],1,1
2,90,2,2.90.a.b,-4,-4,0,1,1,3:[1:0];5:[1:0],1,1
2,72,2,2.72.a.b,-8,4,12,-3,-1,3:[1:0];5:[1:0],1,1
2,72,2,2.72.a.b,-4,0,4,-3,-1,3:[1:0];5:[1:0],1,1
2,72,2,2.72.a.b,-12,3,15,-3,-1,3:[1:0];5:[1:0],1,1
2,106,2,2.106.a.b,-14,-3,11,1,1,3:[1:0];5:[1:0],1,1
2,106,2,2.106.a.b,-4,-4,0,1,1,3:[1:0];5:[1:0],1,1
2,106,2,2.106.a.b,-21,-4,17,1,1,3:[1:0];5:[1:0],1,1
2,106,2,2.106.a.b,-17,-3,14,1,1,3:[1:0];5:[1:0],1,1
2,106,2,2.106.a.b,-10,-4,6,1,1,3:[1:0];5:[1:0],1,1
2,14,2,2.14.a.b,-4,-1,3,1,1,3:[1:0];5:[1:0],1,1
2,14,2,2.14.a.a,9999,9999,9,5,-1,3:[1:0];5:[1:0],1,1
2,34,2,2.34.a.a,-7,8,15,5,-1,3:[1:0];5:[1:0],1,1
2,34,2,2.34.a.b,-3,-3,0,1,1,3:[1:0];5:[1:0],1,1
2,34,2,2.34.a.b,-7,0,7,1,1,3:[1:0];5:[1:0],1,1
2,54,2,2.54.a.b,-7,-3,4,1,1,3:[1:0];5:[1:0],1,1
2,54,2,2.54.a.b,-10,-2,8,1,1,3:[1:0];5:[1:0],1,1
2,142,2,2.142.a.a,-29,2,31,5,-1,3:[1:0];5:[1:0],1,1
2,142,2,2.142.a.a,-15,4,19,5,-1,3:[1:0];5:[1:0],1,1
2,142,2,2.142.a.a,-12,5,17,5,-1,3:[1:0];5:[1:0],1,1
2,142,2,2.142.a.a,-5,4,9,5,-1,3:[1:0];5:[1:0],1,1
2,142,2,2.142.a.a,-21,6,27,5,-1,3:[1:0];5:[1:0],2,1
2,110,2,2.110.a.b,-21,-2,19,1,1,3:[1:0];5:[1:0],2,1
2,110,2,2.110.a.b,-1,2,3,1,1,3:[1:0];5:[1:0],1,1
2,110,2,2.110.a.b,-15,-3,12,1,1,3:[1:0];5:[1:0],1,1
2,110,2,2.110.a.b,-12,-4,8,1,1,3:[1:0];5:[1:0],1,1
2,54,2,2.54.a.a,-7,3,10,5,-1,3:[1:0];5:[1:0],1,1
2,54,2,2.54.a.a,-10,4,14,5,-1,3:[1:0];5:[1:0],1,1
2,16,2,2.16.a.a,-1,3,4,-3,-1,3:[1:0];5:[1:0],1,1
2,36,2,2.36.a.b,-5,11,16,-7,1,3:[1:0];5:[1:0],1,1
2,92,2,2.92.a.b,-10,11,21,-7,1,3:[1:0];5:[1:0],1,1
2,92,2,2.92.a.b,-16,9,25,-7,1,3:[1:0];5:[1:0],1,1
2,92,2,2.92.a.b,-19,8,27,-7,1,3:[1:0];5:[1:0],1,1
2,92,2,2.92.a.b,-6,9,15,-7,1,3:[1:0];5:[1:0],1,1
2,36,2,2.36.a.a,-5,5,10,-3,-1,3:[1:0];5:[1:0],1,1
2,74,2,2.74.a.a,-17,5,22,5,-1,3:[1:0];5:[1:0],1,1
2,74,2,2.74.a.a,-9,7,16,5,-1,3:[1:0];5:[1:0],1,1
2,74,2,2.74.a.a,-12,9,21,5,-1,3:[1:0];5:[1:0],1,1
2,74,2,2.74.a.b,-17,-3,14,1,1,3:[1:0];5:[1:0],1,1
2,74,2,2.74.a.b,-9,-1,8,1,1,3:[1:0];5:[1:0],1,1
2,74,2,2.74.a.b,-4,-4,0,1,1,3:[1:0];5:[1:0],1,1
2,74,2,2.74.a.b,-12,-1,11,1,1,3:[1:0];5:[1:0],1,1
2,56,2,2.56.a.a,-9,10,19,-7,1,3:[1:0];5:[1:0],1,1
2,56,2,2.56.a.a,-12,11,23,-7,1,3:[1:0];5:[1:0],1,1
2,92,2,2.92.a.a,-10,5,15,-3,-1,3:[1:0];5:[1:0],1,1
2,92,2,2.92.a.a,-16,3,19,-3,-1,3:[1:0];5:[1:0],1,1
2,92,2,2.92.a.a,-19,2,21,-3,-1,3:[1:0];5:[1:0],1,1
2,92,2,2.92.a.a,-6,3,9,-3,-1,3:[1:0];5:[1:0],1,1
2,56,2,2.56.a.b,-9,2,11,-3,-1,3:[1:0];5:[1:0],1,1
2,56,2,2.56.a.b,-3,1,4,-3,-1,3:[1:0];5:[1:0],1,1
2,56,2,2.56.a.b,-12,1,13,-3,-1,3:[1:0];5:[1:0],1,1
2,18,2,2.18.a.a,-2,-2,0,1,1,3:[1:0];5:[1:0],1,1
2,110,2,2.110.a.a,-21,4,25,5,-1,3:[1:0];5:[1:0],2,1
2,110,2,2.110.a.a,-3,6,9,5,-1,3:[1:0];5:[1:0],1,1
2,110,2,2.110.a.a,-15,3,18,5,-1,3:[1:0];5:[1:0],1,1
2,110,2,2.110.a.a,-12,2,14,5,-1,3:[1:0];5:[1:0],1,1
2,38,2,2.38.a.b,-10,-2,8,1,1,3:[1:0];5:[1:0],1,1
2,38,2,2.38.a.b,-6,0,6,1,1,3:[1:0];5:[1:0],1,1
2,126,2,2.126.a.b,-13,-3,10,1,1,3:[1:0];5:[1:0],1,2
2,126,2,2.126.a.b,-21,-3,18,1,1,3:[1:0];5:[1:0],1,2
2,126,2,2.126.a.b,-7,-4,3,1,1,3:[1:0];5:[1:0],1,1
2,38,2,2.38.a.a,-10,4,14,5,-1,3:[1:0];5:[1:0],1,1
2,38,2,2.38.a.a,-6,6,12,5,-1,3:[1:0];5:[1:0],1,1
2,108,2,2.108.a.b,-19,9,28,-7,1,3:[1:0];5:[1:0],1,1
2,108,2,2.108.a.b,-6,11,17,-7,1,3:[1:0];5:[1:0],1,1
2,108,2,2.108.a.b,-16,8,24,-7,1,3:[1:0];5:[1:0],1,1
2,108,2,2.108.a.b,-11,8,19,-7,1,3:[1:0];5:[1:0],1,1
2,94,2,2.94.a.b,-14,-3,11,1,1,3:[1:0];5:[1:0],1,2
2,94,2,2.94.a.b,-5,-2,3,1,1,3:[1:0];5:[1:0],1,1
2,94,2,2.94.a.b,-20,-4,16,1,1,3:[1:0];5:[1:0],1,1
2,124,2,2.124.a.b,-16,9,25,-7,1,3:[1:0];5:[1:0],1,1
2,124,2,2.124.a.b,-11,8,19,-7,1,3:[1:0];5:[1:0],1,1
2,124,2,2.124.a.b,-8,7,15,-7,1,3:[1:0];5:[1:0],1,1
2,124,2,2.124.a.b,-22,8,30,-7,1,3:[1:0];5:[1:0],1,1
2,124,2,2.124.a.b,-20,8,28,-7,1,3:[1:0];5:[1:0],1,1
2,58,2,2.58.a.a,-12,7,19,5,-1,3:[1:0];5:[1:0],1,1
2,58,2,2.58.a.a,-8,5,13,5,-1,3:[1:0];5:[1:0],1,1
2,58,2,2.58.a.b,-12,-3,9,1,1,3:[1:0];5:[1:0],1,1
2,58,2,2.58.a.b,-3,-3,0,1,1,3:[1:0];5:[1:0],1,1
2,58,2,2.58.a.b,-8,-3,5,1,1,3:[1:0];5:[1:0],1,1
2,76,2,2.76.a.b,-7,11,18,-7,1,3:[1:0];5:[1:0],1,1
2,76,2,2.76.a.b,-10,10,20,-7,1,3:[1:0];5:[1:0],1,1
2,76,2,2.76.a.b,-16,8,24,-7,1,3:[1:0];5:[1:0],1,1
2,108,2,2.108.a.a,-19,3,22,-3,-1,3:[1:0];5:[1:0],1,1
2,108,2,2.108.a.a,-6,5,11,-3,-1,3:[1:0];5:[1:0],1,1
2,108,2,2.108.a.a,-16,2,18,-3,-1,3:[1:0];5:[1:0],1,1
2,108,2,2.108.a.a,-11,2,13,-3,-1,3:[1:0];5:[1:0],1,1
2,76,2,2.76.a.a,-7,5,12,-3,-1,3:[1:0];5:[1:0],1,1
2,76,2,2.76.a.a,-10,4,14,-3,-1,3:[1:0];5:[1:0],1,1
2,76,2,2.76.a.a,-16,2,18,-3,-1,3:[1:0];5:[1:0],1,1
2,78,2,2.78.a.b,-2,1,3,1,1,3:[1:0];5:[1:0],1,1
2,78,2,2.78.a.b,-11,-1,10,1,1,3:[1:0];5:[1:0],1,1
2,78,2,2.78.a.b,-15,-3,12,1,1,3:[1:0];5:[1:0],1,1
2,94,2,2.94.a.a,-14,3,17,5,-1,3:[1:0];5:[1:0],1,2
2,94,2,2.94.a.a,-5,4,9,5,-1,3:[1:0];5:[1:0],1,1
2,94,2,2.94.a.a,-20,2,22,5,-1,3:[1:0];5:[1:0],1,1
2,124,2,2.124.a.a,-16,3,19,-3,-1,3:[1:0];5:[1:0],1,1
2,124,2,2.124.a.a,-11,2,13,-3,-1,3:[1:0];5:[1:0],1,1
2,124,2,2.124.a.a,-8,1,9,-3,-1,3:[1:0];5:[1:0],1,1
2,124,2,2.124.a.a,-22,2,24,-3,-1,3:[1:0];5:[1:0],1,1
2,124,2,2.124.a.a,-20,2,22,-3,-1,3:[1:0];5:[1:0],1,1
2,78,2,2.78.a.a,-3,6,9,5,-1,3:[1:0];5:[1:0],1,1
2,78,2,2.78.a.a,-11,5,16,5,-1,3:[1:0];5:[1:0],1,1
2,78,2,2.78.a.a,-15,3,18,5,-1,3:[1:0];5:[1:0],1,1
2,20,2,2.20.a.b,9999,9999,15,-7,1,3:[1:0];5:[1:0],1,1
2,20,2,2.20.a.a,-4,5,9,-3,-1,3:[1:0];5:[1:0],1,1
2,40,2,2.40.a.a,-7,12,19,-7,1,3:[1:0];5:[1:0],1,1
2,40,2,2.40.a.b,-3,1,4,-3,-1,3:[1:0];5:[1:0],1,1
2,40,2,2.40.a.b,-7,4,11,-3,-1,3:[1:0];5:[1:0],1,1
2,60,2,2.60.a.b,-7,8,15,-7,1,3:[1:0];5:[1:0],1,1
2,60,2,2.60.a.b,-10,9,19,-7,1,3:[1:0];5:[1:0],1,1
2,126,2,2.126.a.a,-13,3,16,5,-1,3:[1:0];5:[1:0],1,2
2,126,2,2.126.a.a,-21,3,24,5,-1,3:[1:0];5:[1:0],1,2
2,126,2,2.126.a.a,-7,2,9,5,-1,3:[1:0];5:[1:0],1,1
2,60,2,2.60.a.a,-7,2,9,-3,-1,3:[1:0];5:[1:0],1,1
2,60,2,2.60.a.a,-10,3,13,-3,-1,3:[1:0];5:[1:0],1,1
2,96,2,2.96.a.a,-7,10,17,-7,1,3:[1:0];5:[1:0],1,1
2,96,2,2.96.a.a,-18,8,26,-7,1,3:[1:0];5:[1:0],1,1
2,96,2,2.96.a.a,-14,10,24,-7,1,3:[1:0];5:[1:0],1,1
2,98,2,2.98.a.a,-21,8,29,5,-1,3:[1:0];5:[1:0],1,1
2,98,2,2.98.a.a,-14,7,21,5,-1,3:[1:0];5:[1:0],1,1
2,98,2,2.98.a.a,-7,8,15,5,-1,3:[1:0];5:[1:0],1,1
2,98,2,2.98.a.a,-18,6,24,5,-1,3:[1:0];5:[1:0],1,1
2,112,2,2.112.a.a,-21,12,33,-7,1,3:[1:0];5:[1:0],1,1
2,112,2,2.112.a.a,-14,11,25,-7,1,3:[1:0];5:[1:0],1,1
2,112,2,2.112.a.a,-17,9,26,-7,1,3:[1:0];5:[1:0],1,1
2,112,2,2.112.a.a,-10,8,18,-7,1,3:[1:0];5:[1:0],1,1
2,98,2,2.98.a.b,-4,-4,0,1,1,3:[1:0];5:[1:0],1,1
2,98,2,2.98.a.b,-21,-4,17,1,1,3:[1:0];5:[1:0],1,1
2,98,2,2.98.a.b,-14,-3,11,1,1,3:[1:0];5:[1:0],1,1
2,98,2,2.98.a.b,-7,0,7,1,1,3:[1:0];5:[1:0],1,1
2,98,2,2.98.a.b,-18,-2,16,1,1,3:[1:0];5:[1:0],1,1
2,96,2,2.96.a.b,-7,2,9,-3,-1,3:[1:0];5:[1:0],1,1
2,96,2,2.96.a.b,-18,0,18,-3,-1,3:[1:0];5:[1:0],1,1
2,96,2,2.96.a.b,-14,0,14,-3,-1,3:[1:0];5:[1:0],1,1
2,96,2,2.96.a.b,-4,0,4,-3,-1,3:[1:0];5:[1:0],1,1
2,80,2,2.80.a.a,-17,9,26,-7,1,3:[1:0];5:[1:0],1,1
2,80,2,2.80.a.a,-9,11,20,-7,1,3:[1:0];5:[1:0],1,1
2,80,2,2.80.a.a,-12,13,25,-7,1,3:[1:0];5:[1:0],1,1
2,112,2,2.112.a.b,-21,0,21,-3,-1,3:[1:0];5:[1:0],1,1
2,112,2,2.112.a.b,-4,0,4,-3,-1,3:[1:0];5:[1:0],1,1
2,112,2,2.112.a.b,-14,1,15,-3,-1,3:[1:0];5:[1:0],1,1
2,112,2,2.112.a.b,-17,1,18,-3,-1,3:[1:0];5:[1:0],1,1
2,112,2,2.112.a.b,-10,0,10,-3,-1,3:[1:0];5:[1:0],1,1
2,80,2,2.80.a.b,-17,1,18,-3,-1,3:[1:0];5:[1:0],1,1
2,80,2,2.80.a.b,-9,3,12,-3,-1,3:[1:0];5:[1:0],1,1
2,80,2,2.80.a.b,-4,0,4,-3,-1,3:[1:0];5:[1:0],1,1
2,80,2,2.80.a.b,-12,3,15,-3,-1,3:[1:0];5:[1:0],1,1
2,114,2,2.114.a.a,-17,6,23,5,-1,3:[1:0];5:[1:0],1,1
2,114,2,2.114.a.a,-10,5,15,5,-1,3:[1:0];5:[1:0],1,1
2,114,2,2.114.a.a,-21,8,29,5,-1,3:[1:0];5:[1:0],1,1
2,114,2,2.114.a.a,-13,6,19,5,-1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.a,-19,9,28,5,-1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.a,-23,9,32,5,-1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.a,-9,8,17,5,-1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.a,-21,10,31,5,-1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.a,-13,9,22,5,-1,3:[1:0];5:[1:0],1,1
2,114,2,2.114.a.b,-17,-2,15,1,1,3:[1:0];5:[1:0],1,1
2,114,2,2.114.a.b,-10,-3,7,1,1,3:[1:0];5:[1:0],1,1
2,114,2,2.114.a.b,-4,-4,0,1,1,3:[1:0];5:[1:0],1,1
2,114,2,2.114.a.b,-21,-4,17,1,1,3:[1:0];5:[1:0],1,1
2,114,2,2.114.a.b,-13,-4,9,1,1,3:[1:0];5:[1:0],1,1
2,118,2,2.118.a.b,-16,-2,14,1,1,3:[1:0];5:[1:0],1,1
2,118,2,2.118.a.b,-11,-3,8,1,1,3:[1:0];5:[1:0],1,1
2,118,2,2.118.a.b,-22,-3,19,1,1,3:[1:0];5:[1:0],1,1
2,118,2,2.118.a.b,-20,-3,17,1,1,3:[1:0];5:[1:0],1,1
2,118,2,2.118.a.b,-8,-4,4,1,1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.b,-19,1,20,1,1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.b,-23,1,24,1,1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.b,-9,0,9,1,1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.b,-5,-5,0,1,1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.b,-21,-2,19,1,1,3:[1:0];5:[1:0],1,1
2,130,2,2.130.a.b,-13,-1,12,1,1,3:[1:0];5:[1:0],1,1
2,100,2,2.100.a.b,-14,10,24,-7,1,3:[1:0];5:[1:0],1,2
2,100,2,2.100.a.b,-20,9,29,-7,1,3:[1:0];5:[1:0],1,1
2,100,2,2.100.a.b,-5,11,16,-7,1,3:[1:0];5:[1:0],1,1
2,128,2,2.128.a.a,-13,10,23,-7,1,3:[1:0];5:[1:0],1,1
2,128,2,2.128.a.a,-21,12,33,-7,1,3:[1:0];5:[1:0],1,1
2,128,2,2.128.a.a,-9,8,17,-7,1,3:[1:0];5:[1:0],1,1
2,128,2,2.128.a.a,-23,9,32,-7,1,3:[1:0];5:[1:0],1,1
