p,k,Nnew,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
2,22,2,2.22.a.b,-6,-2,4,1,1,3:[1:0];5:[1:0],1,1
2,22,2,2.22.a.a,-6,4,10,5,-1,3:[1:0];5:[1:0],1,1
2,42,2,2.42.a.a,-9,5,14,5,-1,3:[1:0];5:[1:0],1,1
2,42,2,2.42.a.b,-3,-3,0,1,1,3:[1:0];5:[1:0],1,1
2,42,2,2.42.a.b,-9,-3,6,1,1,3:[1:0];5:[1:0],1,1
2,62,2,2.62.a.b,-6,-3,3,1,1,3:[1:0];5:[1:0],1,1
2,62,2,2.62.a.b,-12,-2,10,1,1,3:[1:0];5:[1:0],1,2
2,62,2,2.62.a.a,-6,3,9,5,-1,3:[1:0];5:[1:0],1,1
2,62,2,2.62.a.a,-12,4,16,5,-1,3:[1:0];5:[1:0],1,2
2,82,2,2.82.a.a,-14,6,20,5,-1,3:[1:0];5:[1:0],1,1
2,82,2,2.82.a.a,-9,8,17,5,-1,3:[1:0];5:[1:0],1,1
2,82,2,2.82.a.a,-17,6,23,5,-1,3:[1:0];5:[1:0],1,1
2,82,2,2.82.a.b,-4,-4,0,1,1,3:[1:0];5:[1:0],1,1
2,82,2,2.82.a.b,-14,-4,10,1,1,3:[1:0];5:[1:0],1,1
2,82,2,2.82.a.b,-9,0,9,1,1,3:[1:0];5:[1:0],1,1
2,82,2,2.82.a.b,-17,-2,15,1,1,3:[1:0];5:[1:0],1,1
2,102,2,2.102.a.b,-19,-2,17,1,1,3:[1:0];5:[1:0],1,1
2,102,2,2.102.a.b,-6,0,6,1,1,3:[1:0];5:[1:0],1,1
2,102,2,2.102.a.b,-11,-3,8,1,1,3:[1:0];5:[1:0],1,1
2,102,2,2.102.a.b,-16,-3,13,1,1,3:[1:0];5:[1:0],1,1
2,102,2,2.102.a.a,-19,4,23,5,-1,3:[1:0];5:[1:0],1,1
2,102,2,2.102.a.a,-6,6,12,5,-1,3:[1:0];5:[1:0],1,1
2,102,2,2.102.a.a,-11,3,14,5,-1,3:[1:0];5:[1:0],1,1
2,102,2,2.102.a.a,-16,3,19,5,-1,3:[1:0];5:[1:0],1,1
2,24,2,2.24.a.a,-2,2,4,-3,-1,3:[1:0];5:[1:0],1,1
2,44,2,2.44.a.b,-10,9,19,-7,1,3:[1:0];5:[1:0],1,1
2,44,2,2.44.a.b,-6,11,17,-7,1,3:[1:0];5:[1:0],1,1
2,44,2,2.44.a.a,-10,3,13,-3,-1,3:[1:0];5:[1:0],1,1
2,44,2,2.44.a.a,-6,5,11,-3,-1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.a,-21,8,29,5,-1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.a,-13,6,19,5,-1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.a,-9,4,13,5,-1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.a,-19,5,24,5,-1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.a,-23,5,28,5,-1,3:[1:0];5:[1:0],1,1
2,64,2,2.64.a.a,-12,11,23,-7,1,3:[1:0];5:[1:0],1,1
2,64,2,2.64.a.a,-8,9,17,-7,1,3:[1:0];5:[1:0],1,1
2,64,2,2.64.a.b,-12,1,13,-3,-1,3:[1:0];5:[1:0],1,1
2,64,2,2.64.a.b,-3,1,4,-3,-1,3:[1:0];5:[1:0],1,1
2,64,2,2.64.a.b,-8,1,9,-3,-1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.b,-21,-4,17,1,1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.b,-4,-4,0,1,1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.b,-13,-4,9,1,1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.b,-9,-4,5,1,1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.b,-19,-3,16,1,1,3:[1:0];5:[1:0],1,1
2,122,2,2.122.a.b,-23,-3,20,1,1,3:[1:0];5:[1:0],1,1
2,84,2,2.84.a.b,-2,13,15,-7,1,3:[1:0];5:[1:0],1,1
2,84,2,2.84.a.b,-15,9,24,-7,1,3:[1:0];5:[1:0],1,1
2,84,2,2.84.a.b,-11,11,22,-7,1,3:[1:0];5:[1:0],1,1
