p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
2,22,6,6.22.a.c,17,1,9999,9999,16,5:[1:0],1,1
3,22,6,6.22.a.c,13,1,-4,7,11,5:[1:0];7:[1:1],1,1
2,22,6,6.22.a.b,1,1,-2,-2,0,5:[1:0],1,1
3,22,6,6.22.a.b,5,-1,-4,3,7,5:[1:0];7:[1:1],1,1
2,22,6,6.22.a.a,5,-1,-4,6,10,5:[1:0],1,1
3,22,6,6.22.a.a,1,1,-2,-2,0,5:[1:0];7:[1:1],1,1
2,4,6,6.4.a.a,-11,-1,9999,9999,2,5:[1:0],1,1
3,4,6,6.4.a.a,-7,-1,9999,9999,1,5:[1:0];7:[1:1],1,1
2,24,6,6.24.a.c,-23,1,-6,6,12,5:[1:0],1,1
3,24,6,6.24.a.c,-19,-1,-7,0,7,5:[1:0];7:[1:1],1,1
2,42,6,6.42.a.a,17,1,-7,14,21,5:[1:0],1,1
3,42,6,6.42.a.a,13,1,-8,8,16,5:[1:0];7:[1:1],1,1
2,6,6,6.6.a.a,1,1,0,0,0,5:[1:0],1,1
3,6,6,6.6.a.a,5,-1,-1,1,2,5:[1:0];7:[1:1],1,1
2,42,6,6.42.a.d,1,1,-6,1,7,5:[1:0],1,1
2,42,6,6.42.a.d,1,1,-10,-1,9,5:[1:0],1,1
3,42,6,6.42.a.d,5,-1,0,2,2,5:[1:0];7:[1:1],1,1
3,42,6,6.42.a.d,5,-1,-8,2,10,5:[1:0];7:[1:1],1,1
2,26,6,6.26.a.c,1,1,-6,-1,5,5:[1:0],1,1
3,26,6,6.26.a.c,5,-1,-2,1,3,5:[1:0];7:[1:1],1,1
2,24,6,6.24.a.b,-19,-1,-7,0,7,5:[1:0],1,1
3,24,6,6.24.a.b,-23,1,-5,2,7,5:[1:0];7:[1:1],1,1
2,26,6,6.26.a.b,5,-1,-2,4,6,5:[1:0],1,1
3,26,6,6.26.a.b,1,1,-4,0,4,5:[1:0];7:[1:1],1,1
2,24,6,6.24.a.a,-11,-1,-6,0,6,5:[1:0],1,1
3,24,6,6.24.a.a,-7,-1,-5,0,5,5:[1:0];7:[1:1],1,1
2,42,6,6.42.a.c,5,-1,-3,3,6,5:[1:0],1,1
2,42,6,6.42.a.c,5,-1,-7,6,13,5:[1:0],1,1
3,42,6,6.42.a.c,1,1,-11,-2,9,5:[1:0];7:[1:1],1,1
3,42,6,6.42.a.c,1,1,-6,0,6,5:[1:0];7:[1:1],1,1
2,24,6,6.24.a.d,-7,1,-7,0,7,5:[1:0],1,1
2,24,6,6.24.a.d,-7,1,-2,2,4,5:[1:0],1,1
3,24,6,6.24.a.d,-11,1,-2,0,2,5:[1:0];7:[1:1],1,1
3,24,6,6.24.a.d,-11,1,-7,0,7,5:[1:0];7:[1:1],1,1
2,26,6,6.26.a.a,13,-1,-6,5,11,5:[1:0],1,1
3,26,6,6.26.a.a,17,-1,-4,2,6,5:[1:0];7:[1:1],1,1
2,8,6,6.8.a.a,-7,1,9999,9999,4,5:[1:0],1,1
3,8,6,6.8.a.a,-11,1,9999,9999,3,5:[1:0];7:[1:1],1,1
2,28,6,6.28.a.c,-7,1,-5,0,5,5:[1:0],1,1
3,28,6,6.28.a.c,-11,1,-5,-1,4,5:[1:0];7:[1:1],1,1
2,10,6,6.10.a.a,5,-1,9999,9999,6,5:[1:0],1,1
3,10,6,6.10.a.a,1,1,-1,-1,0,5:[1:0];7:[1:1],1,1
2,28,6,6.28.a.b,-23,1,-7,8,15,5:[1:0],1,1
3,28,6,6.28.a.b,-19,-1,-5,-1,4,5:[1:0];7:[1:1],1,1
2,42,6,6.42.a.b,13,-1,-6,7,13,5:[1:0],1,1
2,42,6,6.42.a.b,13,-1,-10,5,15,5:[1:0],1,1
3,42,6,6.42.a.b,17,-1,-11,0,11,5:[1:0];7:[1:1],1,1
3,42,6,6.42.a.b,17,-1,-6,2,8,5:[1:0];7:[1:1],1,1
2,12,6,6.12.a.c,-7,1,-4,1,5,5:[1:0],1,1
3,12,6,6.12.a.c,-11,1,0,2,2,5:[1:0];7:[1:1],1,1
2,12,6,6.12.a.b,-19,-1,-4,1,5,5:[1:0],1,1
3,12,6,6.12.a.b,-23,1,-4,3,7,5:[1:0];7:[1:1],1,1
2,12,6,6.12.a.a,-11,-1,-1,1,2,5:[1:0],1,1
3,12,6,6.12.a.a,-7,-1,-4,1,5,5:[1:0];7:[1:1],1,1
2,30,6,6.30.a.c,17,1,-6,10,16,5:[1:0],1,1
3,30,6,6.30.a.c,13,1,-9,7,16,5:[1:0];7:[1:1],1,1
2,30,6,6.30.a.b,5,-1,-6,4,10,5:[1:0],1,1
3,30,6,6.30.a.b,1,1,-4,-2,2,5:[1:0];7:[1:1],1,1
2,28,6,6.28.a.a,-19,-1,-5,0,5,5:[1:0],1,1
3,28,6,6.28.a.a,-23,1,-7,4,11,5:[1:0];7:[1:1],1,1
2,28,6,6.28.a.d,-11,-1,-2,0,2,5:[1:0],1,1
2,28,6,6.28.a.d,-11,-1,-7,0,7,5:[1:0],1,1
3,28,6,6.28.a.d,-7,-1,-7,0,7,5:[1:0];7:[1:1],1,1
3,28,6,6.28.a.d,-7,-1,-2,-1,1,5:[1:0];7:[1:1],1,1
2,30,6,6.30.a.a,13,-1,-7,6,13,5:[1:0],1,1
3,30,6,6.30.a.a,17,-1,-4,0,4,5:[1:0];7:[1:1],1,1
2,30,6,6.30.a.d,1,1,-2,-2,0,5:[1:0],1,1
2,30,6,6.30.a.d,1,1,-7,-2,5,5:[1:0],1,1
3,30,6,6.30.a.d,5,-1,-9,1,10,5:[1:0];7:[1:1],1,1
3,30,6,6.30.a.d,5,-1,-2,0,2,5:[1:0];7:[1:1],1,1
2,14,6,6.14.a.a,1,1,-1,-1,0,5:[1:0],1,1
3,14,6,6.14.a.a,5,-1,-1,2,3,5:[1:0];7:[1:1],1,1
2,46,6,6.46.a.a,13,-1,-9,5,14,5:[1:0],1,1
3,46,6,6.46.a.a,17,-1,-8,2,10,5:[1:0];7:[1:1],1,1
2,32,6,6.32.a.c,-23,1,-5,6,11,5:[1:0],1,1
3,32,6,6.32.a.c,-19,-1,-7,1,8,5:[1:0];7:[1:1],1,1
2,44,6,6.44.a.a,-23,1,-9,7,16,5:[1:0],1,1
3,44,6,6.44.a.a,-19,-1,-9,0,9,5:[1:0];7:[1:1],1,1
2,16,6,6.16.a.c,-7,1,-2,2,4,5:[1:0],1,1
3,16,6,6.16.a.c,-11,1,-4,0,4,5:[1:0];7:[1:1],1,1
2,34,6,6.34.a.c,17,1,9999,9999,21,5:[1:0],1,1
3,34,6,6.34.a.c,13,1,-4,6,10,5:[1:0];7:[1:1],1,1
2,16,6,6.16.a.b,-23,1,9999,9999,11,5:[1:0],1,1
3,16,6,6.16.a.b,-19,-1,-4,0,4,5:[1:0];7:[1:1],1,1
2,16,6,6.16.a.a,-11,-1,-4,1,5,5:[1:0],1,1
3,16,6,6.16.a.a,-7,-1,1,2,1,5:[1:0];7:[1:1],1,1
2,34,6,6.34.a.b,1,1,-5,1,6,5:[1:0],1,1
3,34,6,6.34.a.b,5,-1,-4,2,6,5:[1:0];7:[1:1],1,1
2,32,6,6.32.a.b,-19,-1,-7,2,9,5:[1:0],1,1
3,32,6,6.32.a.b,-23,1,-5,2,7,5:[1:0];7:[1:1],1,1
2,18,6,6.18.a.c,1,1,-4,1,5,5:[1:0],1,1
3,18,6,6.18.a.c,5,-1,-2,1,3,5:[1:0];7:[1:1],1,1
