p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,51,4,51.4.a.e,100000,5,2,-95,1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,4,51.4.a.e,0,0,0,-95,1,2:[1:2:2];5:[1:0:1];7:[1:0];11:[1:2:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:1:2];53:[1:2:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:1:2];73:[1:2:2];79:[1:0];83:[1:2:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
17,51,4,51.4.a.e,0,0,0,-4,1,2:[1:0];5:[1:2];7:[1:11];11:[1:16];13:[1:13];19:[1:2];23:[1:14];29:[1:13];31:[1:6];37:[1:12];41:[1:4];43:[1:12];47:[1:10];53:[1:12];59:[1:3];61:[1:5];67:[1:13];71:[1:15];73:[1:7];79:[1:8];83:[1:5];89:[1:0];97:[1:5];101:[1:0],1,1
17,51,4,51.4.a.e,0,1,1,-4,1,2:[1:1];5:[1:3];7:[1:2];11:[1:14];13:[1:14];19:[1:10];23:[1:3];29:[1:2];31:[1:12];37:[1:9];41:[1:12];43:[1:3];47:[1:12];53:[1:13];59:[1:13];61:[1:4];67:[1:14];71:[1:5];73:[1:1];79:[1:9];83:[1:2];89:[1:3];97:[1:4];101:[1:3],1,1
17,51,4,51.4.a.e,0,1,1,-4,1,2:[1:11];5:[1:4];7:[1:12];11:[1:4];13:[1:5];19:[1:11];23:[1:9];29:[1:14];31:[1:11];37:[1:5];41:[1:12];43:[1:12];47:[1:5];53:[1:11];59:[1:13];61:[1:9];67:[1:0];71:[1:5];73:[1:4];79:[1:4];83:[1:15];89:[1:14];97:[1:14];101:[1:0],1,1
3,51,6,51.6.a.a,100000,2,1,88,1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,6,51.6.a.a,100000,2,4,88,1,2:[1:1];5:[1:2];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:2];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:1];73:[1:0];79:[1:0];83:[1:1];89:[1:2];97:[1:1];101:[1:1],1,1
17,51,6,51.6.a.a,0,1,1,8,1,2:[1:2];5:[1:15];7:[1:14];11:[1:1];13:[1:12];19:[1:3];23:[1:1];29:[1:7];31:[1:15];37:[1:10];41:[1:16];43:[1:10];47:[1:3];53:[1:9];59:[1:2];61:[1:6];67:[1:3];71:[1:15];73:[1:5];79:[1:14];83:[1:13];89:[1:12];97:[1:14];101:[1:14],1,1
17,51,6,51.6.a.a,-1,1,2,8,1,2:[1:5];5:[1:13];7:[1:3];11:[1:8];13:[1:5];19:[1:2];23:[1:2];29:[1:4];31:[1:7];37:[1:7];41:[1:0];43:[1:7];47:[1:15];53:[1:14];59:[1:9];61:[1:4];67:[1:1];71:[1:2];73:[1:16];79:[1:8];83:[1:7];89:[1:0];97:[1:3];101:[1:14],1,1
3,51,6,51.6.a.b,-2,0,2,8,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
