p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
17,51,46,51.46.a.a,-12,0,12,8,1,2:[1:3];5:[1:11];7:[1:12];11:[1:3];13:[1:9];19:[1:8];23:[1:8];29:[1:2];31:[1:4];37:[1:8];41:[1:5];43:[1:1];47:[1:15];53:[1:1];59:[1:4];61:[1:0];67:[1:2];71:[1:0];73:[1:7];79:[1:16];83:[1:15];89:[1:14];97:[1:2];101:[1:11],1,1
17,51,46,51.46.a.a,-3,1,4,8,1,2:[1:8];5:[1:11];7:[1:1];11:[1:11];13:[1:16];19:[1:14];23:[1:9];29:[1:5];31:[1:14];37:[1:4];41:[1:6];43:[1:13];47:[1:15];53:[1:7];59:[1:0];61:[1:5];67:[1:12];71:[1:0];73:[1:12];79:[1:2];83:[1:7];89:[1:7];97:[1:16];101:[1:5],1,1
17,51,46,51.46.a.a,-19,1,20,8,1,2:[1:8];5:[1:11];7:[1:1];11:[1:11];13:[1:16];19:[1:14];23:[1:9];29:[1:5];31:[1:14];37:[1:4];41:[1:6];43:[1:13];47:[1:15];53:[1:7];59:[1:0];61:[1:5];67:[1:12];71:[1:0];73:[1:12];79:[1:2];83:[1:7];89:[1:7];97:[1:16];101:[1:5],1,1
17,51,46,51.46.a.a,-13,1,14,8,1,2:[1:8];5:[1:11];7:[1:1];11:[1:11];13:[1:16];19:[1:14];23:[1:9];29:[1:5];31:[1:14];37:[1:4];41:[1:6];43:[1:13];47:[1:15];53:[1:7];59:[1:0];61:[1:5];67:[1:12];71:[1:0];73:[1:12];79:[1:2];83:[1:7];89:[1:7];97:[1:16];101:[1:5],1,1
17,51,46,51.46.a.a,-2,1,3,8,1,2:[1:11];5:[1:7];7:[1:7];11:[1:12];13:[1:8];19:[1:5];23:[1:11];29:[1:5];31:[1:5];37:[1:16];41:[1:8];43:[1:5];47:[1:6];53:[1:5];59:[1:4];61:[1:3];67:[1:16];71:[1:8];73:[1:1];79:[1:6];83:[1:2];89:[1:8];97:[1:7];101:[1:13],1,1
17,51,46,51.46.a.a,-18,1,19,8,1,2:[1:11];5:[1:7];7:[1:7];11:[1:12];13:[1:8];19:[1:5];23:[1:11];29:[1:5];31:[1:5];37:[1:16];41:[1:8];43:[1:5];47:[1:6];53:[1:5];59:[1:4];61:[1:3];67:[1:16];71:[1:8];73:[1:1];79:[1:6];83:[1:2];89:[1:8];97:[1:7];101:[1:13],1,1
17,51,46,51.46.a.a,-14,1,15,8,1,2:[1:11];5:[1:7];7:[1:7];11:[1:12];13:[1:8];19:[1:5];23:[1:11];29:[1:5];31:[1:5];37:[1:16];41:[1:8];43:[1:5];47:[1:6];53:[1:5];59:[1:4];61:[1:3];67:[1:16];71:[1:8];73:[1:1];79:[1:6];83:[1:2];89:[1:8];97:[1:7];101:[1:13],1,1
17,51,46,51.46.a.a,-15,1,16,8,1,2:[1:12];5:[1:16];7:[1:12];11:[1:15];13:[1:5];19:[1:15];23:[1:8];29:[1:1];31:[1:6];37:[1:6];41:[1:0];43:[1:10];47:[1:15];53:[1:3];59:[1:8];61:[1:16];67:[1:1];71:[1:9];73:[1:4];79:[1:15];83:[1:10];89:[1:0];97:[1:5];101:[1:14],1,1
17,51,46,51.46.a.a,-17,1,18,8,1,2:[1:12];5:[1:16];7:[1:12];11:[1:15];13:[1:5];19:[1:15];23:[1:8];29:[1:1];31:[1:6];37:[1:6];41:[1:0];43:[1:10];47:[1:15];53:[1:3];59:[1:8];61:[1:16];67:[1:1];71:[1:9];73:[1:4];79:[1:15];83:[1:10];89:[1:0];97:[1:5];101:[1:14],1,1
17,51,46,51.46.a.a,-16,3,19,8,1,2:[1:12];5:[1:5];7:[1:13];11:[1:6];13:[1:14];19:[1:12];23:[1:12];29:[1:8];31:[1:13];37:[1:8];41:[1:13];43:[1:11];47:[1:14];53:[1:12];59:[1:15];61:[1:3];67:[1:0];71:[1:8];73:[1:5];79:[1:6];83:[1:13];89:[1:5];97:[1:8];101:[1:0],1,1
17,51,46,51.46.a.a,-1,1,2,8,1,2:[1:12];5:[1:16];7:[1:12];11:[1:15];13:[1:5];19:[1:15];23:[1:8];29:[1:1];31:[1:6];37:[1:6];41:[1:0];43:[1:10];47:[1:15];53:[1:3];59:[1:8];61:[1:16];67:[1:1];71:[1:9];73:[1:4];79:[1:15];83:[1:10];89:[1:0];97:[1:5];101:[1:14],1,1
17,51,46,51.46.a.a,-4,1,5,8,1,2:[1:13];5:[1:0];7:[1:15];11:[1:15];13:[1:2];19:[1:16];23:[1:2];29:[1:0];31:[1:9];37:[1:16];41:[1:13];43:[1:1];47:[1:9];53:[1:10];59:[1:3];61:[1:13];67:[1:5];71:[1:7];73:[1:0];79:[1:2];83:[1:3];89:[1:7];97:[1:2];101:[1:6],1,1
17,51,46,51.46.a.a,-12,1,13,8,1,2:[1:13];5:[1:0];7:[1:15];11:[1:15];13:[1:2];19:[1:16];23:[1:2];29:[1:0];31:[1:9];37:[1:16];41:[1:13];43:[1:1];47:[1:9];53:[1:10];59:[1:3];61:[1:13];67:[1:5];71:[1:7];73:[1:0];79:[1:2];83:[1:3];89:[1:7];97:[1:2];101:[1:6],1,1
17,51,46,51.46.a.a,-14,1,15,8,1,2:[1:14];5:[1:10];7:[1:7];11:[1:7];13:[1:11];19:[1:5];23:[1:6];29:[1:2];31:[1:16];37:[1:5];41:[1:3];43:[1:5];47:[1:3];53:[1:10];59:[1:10];61:[1:13];67:[1:16];71:[1:11];73:[1:7];79:[1:6];83:[1:13];89:[1:14];97:[1:13];101:[1:16],1,1
17,51,46,51.46.a.a,-18,1,19,8,1,2:[1:14];5:[1:10];7:[1:7];11:[1:7];13:[1:11];19:[1:5];23:[1:6];29:[1:2];31:[1:16];37:[1:5];41:[1:3];43:[1:5];47:[1:3];53:[1:10];59:[1:10];61:[1:13];67:[1:16];71:[1:11];73:[1:7];79:[1:6];83:[1:13];89:[1:14];97:[1:13];101:[1:16],1,1
17,51,46,51.46.a.a,-2,1,3,8,1,2:[1:14];5:[1:10];7:[1:7];11:[1:7];13:[1:11];19:[1:5];23:[1:6];29:[1:2];31:[1:16];37:[1:5];41:[1:3];43:[1:5];47:[1:3];53:[1:10];59:[1:10];61:[1:13];67:[1:16];71:[1:11];73:[1:7];79:[1:6];83:[1:13];89:[1:14];97:[1:13];101:[1:16],1,1
17,51,46,51.46.a.a,-16,1,17,8,1,2:[1:15];5:[1:8];7:[1:5];11:[1:4];13:[1:12];19:[1:14];23:[1:4];29:[1:6];31:[1:8];37:[1:11];41:[1:13];43:[1:7];47:[1:3];53:[1:8];59:[1:15];61:[1:7];67:[1:3];71:[1:8];73:[1:14];79:[1:5];83:[1:4];89:[1:12];97:[1:12];101:[1:14],1,2
17,51,46,51.46.a.a,-1,0,1,8,1,2:[1:15];5:[1:8];7:[1:5];11:[1:4];13:[1:12];19:[1:14];23:[1:4];29:[1:6];31:[1:8];37:[1:11];41:[1:13];43:[1:7];47:[1:3];53:[1:8];59:[1:15];61:[1:7];67:[1:3];71:[1:8];73:[1:14];79:[1:5];83:[1:4];89:[1:12];97:[1:12];101:[1:14],1,1
17,51,46,51.46.a.a,-8,2,10,8,1,2:[1:15];5:[1:3];7:[1:0];11:[1:13];13:[1:11];19:[1:6];23:[1:15];29:[1:0];31:[1:2];37:[1:2];41:[1:12];43:[1:6];47:[1:10];53:[1:16];59:[1:5];61:[1:11];67:[1:13];71:[1:13];73:[1:9];79:[1:7];83:[1:14];89:[1:3];97:[1:3];101:[1:2],2,1
17,51,46,51.46.a.a,-9,2,11,8,1,2:[1:3:8];5:[1:16:7];7:[1:13:16];11:[1:10:5];13:[1:6:12];19:[1:3:10];23:[1:12:16];29:[1:13:10];31:[1:14:8];37:[1:2:13];41:[1:16:8];43:[1:14:12];47:[1:0:11];53:[1:14:4];59:[1:16:7];61:[1:9:6];67:[1:13:9];71:[1:8:9];73:[1:6:14];79:[1:0:10];83:[1:6:4];89:[1:13:7];97:[1:8:6];101:[1:13:14],1,2
17,51,46,51.46.a.a,-7,2,9,8,1,2:[1:3:8];5:[1:16:7];7:[1:13:16];11:[1:10:5];13:[1:6:12];19:[1:3:10];23:[1:12:16];29:[1:13:10];31:[1:14:8];37:[1:2:13];41:[1:16:8];43:[1:14:12];47:[1:0:11];53:[1:14:4];59:[1:16:7];61:[1:9:6];67:[1:13:9];71:[1:8:9];73:[1:6:14];79:[1:0:10];83:[1:6:4];89:[1:13:7];97:[1:8:6];101:[1:13:14],1,2
3,51,46,51.46.a.b,-8,2,10,8,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,2
3,51,46,51.46.a.b,-11,0,11,8,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,2
3,51,46,51.46.a.b,-2,2,4,8,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,46,51.46.a.b,-7,2,9,8,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,46,51.46.a.b,-6,2,8,8,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,46,51.46.a.b,-11,0,11,8,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,46,51.46.a.b,-6,2,8,8,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,46,51.46.a.b,-11,0,11,8,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,46,51.46.a.b,-8,-1,7,8,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,3
3,51,46,51.46.a.b,-1,0,1,8,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,46,51.46.a.b,-12,-2,10,8,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,46,51.46.a.b,-1,0,1,8,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,46,51.46.a.b,-10,-2,8,8,-1,2:[1:2];5:[1:1];7:[1:2];11:[1:0];13:[1:2];19:[1:1];23:[1:1];29:[1:0];31:[1:2];37:[1:2];41:[1:0];43:[1:2];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:2];71:[1:2];73:[1:0];79:[1:0];83:[1:2];89:[1:1];97:[1:1];101:[1:2],1,1
3,51,46,51.46.a.b,-11,2,13,8,-1,2:[1:2:2];5:[1:0:1];7:[1:0];11:[1:2:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:1:2];53:[1:2:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:1:2];73:[1:2:2];79:[1:0];83:[1:2:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,46,51.46.a.b,-6,4,10,8,-1,2:[1:2:2];5:[1:0:1];7:[1:0];11:[1:2:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:1:2];53:[1:2:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:1:2];73:[1:2:2];79:[1:0];83:[1:2:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,46,51.46.a.b,-2,-1,1,8,-1,2:[1:2:2];5:[1:0:1];7:[1:0];11:[1:2:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:1:2];53:[1:2:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:1:2];73:[1:2:2];79:[1:0];83:[1:2:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,46,51.46.a.b,-11,-2,9,8,-1,2:[1:2:2];5:[1:0:1];7:[1:0];11:[1:2:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:1:2];53:[1:2:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:1:2];73:[1:2:2];79:[1:0];83:[1:2:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,46,51.46.a.b,-11,-2,9,8,-1,2:[1:2:2];5:[1:0:1];7:[1:0];11:[1:2:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:1:2];53:[1:2:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:1:2];73:[1:2:2];79:[1:0];83:[1:2:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
3,51,46,51.46.a.b,-7,-2,5,8,-1,2:[1:2:2];5:[1:0:1];7:[1:0];11:[1:2:2];13:[1:1:2];19:[1:0];23:[1:0:1];29:[1:0:1];31:[1:2:2];37:[1:2:2];41:[1:0:1];43:[1:0];47:[1:1:2];53:[1:2:2];59:[1:0:1];61:[1:2:2];67:[1:2];71:[1:1:2];73:[1:2:2];79:[1:0];83:[1:2:2];89:[1:0:1];97:[1:2:2];101:[1:0:1],1,2
17,51,46,51.46.a.b,-8,2,10,28,-1,2:[1:0];5:[1:6];7:[1:15];11:[1:10];13:[1:16];19:[1:13];23:[1:4];29:[1:12];31:[1:13];37:[1:8];41:[1:7];43:[1:11];47:[1:11];53:[1:10];59:[1:10];61:[1:4];67:[1:4];71:[1:10];73:[1:4];79:[1:5];83:[1:10];89:[1:0];97:[1:2];101:[1:0],1,1
17,51,46,51.46.a.b,-16,3,19,28,-1,2:[1:2];5:[1:4];7:[1:3];11:[1:16];13:[1:15];19:[1:10];23:[1:7];29:[1:11];31:[1:10];37:[1:4];41:[1:15];43:[1:5];47:[1:4];53:[1:13];59:[1:11];61:[1:8];67:[1:5];71:[1:5];73:[1:12];79:[1:10];83:[1:0];89:[1:10];97:[1:8];101:[1:10],1,2
17,51,46,51.46.a.b,-1,2,3,28,-1,2:[1:2];5:[1:4];7:[1:3];11:[1:16];13:[1:15];19:[1:10];23:[1:7];29:[1:11];31:[1:10];37:[1:4];41:[1:15];43:[1:5];47:[1:4];53:[1:13];59:[1:11];61:[1:8];67:[1:5];71:[1:5];73:[1:12];79:[1:10];83:[1:0];89:[1:10];97:[1:8];101:[1:10],1,1
17,51,46,51.46.a.b,-13,0,13,28,-1,2:[1:3];5:[1:6];7:[1:5];11:[1:14];13:[1:9];19:[1:8];23:[1:9];29:[1:15];31:[1:13];37:[1:9];41:[1:12];43:[1:1];47:[1:15];53:[1:1];59:[1:4];61:[1:0];67:[1:2];71:[1:0];73:[1:10];79:[1:1];83:[1:15];89:[1:14];97:[1:15];101:[1:11],1,1
17,51,46,51.46.a.b,-19,0,19,28,-1,2:[1:3];5:[1:6];7:[1:5];11:[1:14];13:[1:9];19:[1:8];23:[1:9];29:[1:15];31:[1:13];37:[1:9];41:[1:12];43:[1:1];47:[1:15];53:[1:1];59:[1:4];61:[1:0];67:[1:2];71:[1:0];73:[1:10];79:[1:1];83:[1:15];89:[1:14];97:[1:15];101:[1:11],1,1
17,51,46,51.46.a.b,-3,0,3,28,-1,2:[1:3];5:[1:6];7:[1:5];11:[1:14];13:[1:9];19:[1:8];23:[1:9];29:[1:15];31:[1:13];37:[1:9];41:[1:12];43:[1:1];47:[1:15];53:[1:1];59:[1:4];61:[1:0];67:[1:2];71:[1:0];73:[1:10];79:[1:1];83:[1:15];89:[1:14];97:[1:15];101:[1:11],1,1
17,51,46,51.46.a.b,-12,1,13,28,-1,2:[1:8];5:[1:6];7:[1:16];11:[1:6];13:[1:16];19:[1:14];23:[1:8];29:[1:12];31:[1:3];37:[1:13];41:[1:11];43:[1:13];47:[1:15];53:[1:7];59:[1:0];61:[1:12];67:[1:12];71:[1:0];73:[1:5];79:[1:15];83:[1:7];89:[1:7];97:[1:1];101:[1:5],1,1
17,51,46,51.46.a.b,-4,1,5,28,-1,2:[1:8];5:[1:6];7:[1:16];11:[1:6];13:[1:16];19:[1:14];23:[1:8];29:[1:12];31:[1:3];37:[1:13];41:[1:11];43:[1:13];47:[1:15];53:[1:7];59:[1:0];61:[1:12];67:[1:12];71:[1:0];73:[1:5];79:[1:15];83:[1:7];89:[1:7];97:[1:1];101:[1:5],1,1
17,51,46,51.46.a.b,-11,0,11,28,-1,2:[1:11];5:[1:10];7:[1:10];11:[1:5];13:[1:8];19:[1:5];23:[1:6];29:[1:12];31:[1:12];37:[1:1];41:[1:9];43:[1:5];47:[1:6];53:[1:5];59:[1:4];61:[1:14];67:[1:16];71:[1:9];73:[1:16];79:[1:11];83:[1:2];89:[1:8];97:[1:10];101:[1:13],1,1
17,51,46,51.46.a.b,-6,1,7,28,-1,2:[1:11];5:[1:10];7:[1:10];11:[1:5];13:[1:8];19:[1:5];23:[1:6];29:[1:12];31:[1:12];37:[1:1];41:[1:9];43:[1:5];47:[1:6];53:[1:5];59:[1:4];61:[1:14];67:[1:16];71:[1:9];73:[1:16];79:[1:11];83:[1:2];89:[1:8];97:[1:10];101:[1:13],1,1
17,51,46,51.46.a.b,-8,1,9,28,-1,2:[1:12];5:[1:12];7:[1:4];11:[1:11];13:[1:14];19:[1:12];23:[1:5];29:[1:9];31:[1:4];37:[1:9];41:[1:4];43:[1:11];47:[1:14];53:[1:12];59:[1:15];61:[1:14];67:[1:0];71:[1:9];73:[1:12];79:[1:11];83:[1:13];89:[1:5];97:[1:9];101:[1:0],1,1
17,51,46,51.46.a.b,-7,2,9,28,-1,2:[1:12];5:[1:1];7:[1:5];11:[1:2];13:[1:5];19:[1:15];23:[1:9];29:[1:16];31:[1:11];37:[1:11];41:[1:0];43:[1:10];47:[1:15];53:[1:3];59:[1:8];61:[1:1];67:[1:1];71:[1:8];73:[1:13];79:[1:2];83:[1:10];89:[1:0];97:[1:12];101:[1:14],1,1
17,51,46,51.46.a.b,-9,2,11,28,-1,2:[1:12];5:[1:1];7:[1:5];11:[1:2];13:[1:5];19:[1:15];23:[1:9];29:[1:16];31:[1:11];37:[1:11];41:[1:0];43:[1:10];47:[1:15];53:[1:3];59:[1:8];61:[1:1];67:[1:1];71:[1:8];73:[1:13];79:[1:2];83:[1:10];89:[1:0];97:[1:12];101:[1:14],1,1
17,51,46,51.46.a.b,-13,1,14,28,-1,2:[1:13];5:[1:0];7:[1:2];11:[1:2];13:[1:2];19:[1:16];23:[1:15];29:[1:0];31:[1:8];37:[1:1];41:[1:4];43:[1:1];47:[1:9];53:[1:10];59:[1:3];61:[1:4];67:[1:5];71:[1:10];73:[1:0];79:[1:15];83:[1:3];89:[1:7];97:[1:15];101:[1:6],1,1
17,51,46,51.46.a.b,-3,1,4,28,-1,2:[1:13];5:[1:0];7:[1:2];11:[1:2];13:[1:2];19:[1:16];23:[1:15];29:[1:0];31:[1:8];37:[1:1];41:[1:4];43:[1:1];47:[1:9];53:[1:10];59:[1:3];61:[1:4];67:[1:5];71:[1:10];73:[1:0];79:[1:15];83:[1:3];89:[1:7];97:[1:15];101:[1:6],1,1
17,51,46,51.46.a.b,-19,1,20,28,-1,2:[1:13];5:[1:0];7:[1:2];11:[1:2];13:[1:2];19:[1:16];23:[1:15];29:[1:0];31:[1:8];37:[1:1];41:[1:4];43:[1:1];47:[1:9];53:[1:10];59:[1:3];61:[1:4];67:[1:5];71:[1:10];73:[1:0];79:[1:15];83:[1:3];89:[1:7];97:[1:15];101:[1:6],1,1
17,51,46,51.46.a.b,-11,0,11,28,-1,2:[1:14];5:[1:7];7:[1:10];11:[1:10];13:[1:11];19:[1:5];23:[1:11];29:[1:15];31:[1:1];37:[1:12];41:[1:14];43:[1:5];47:[1:3];53:[1:10];59:[1:10];61:[1:4];67:[1:16];71:[1:6];73:[1:10];79:[1:11];83:[1:13];89:[1:14];97:[1:4];101:[1:16],1,1
17,51,46,51.46.a.b,-6,0,6,28,-1,2:[1:14];5:[1:7];7:[1:10];11:[1:10];13:[1:11];19:[1:5];23:[1:11];29:[1:15];31:[1:1];37:[1:12];41:[1:14];43:[1:5];47:[1:3];53:[1:10];59:[1:10];61:[1:4];67:[1:16];71:[1:6];73:[1:10];79:[1:11];83:[1:13];89:[1:14];97:[1:4];101:[1:16],1,1
17,51,46,51.46.a.b,-8,1,9,28,-1,2:[1:15];5:[1:9];7:[1:12];11:[1:13];13:[1:12];19:[1:14];23:[1:13];29:[1:11];31:[1:9];37:[1:6];41:[1:4];43:[1:7];47:[1:3];53:[1:8];59:[1:15];61:[1:10];67:[1:3];71:[1:9];73:[1:3];79:[1:12];83:[1:4];89:[1:12];97:[1:5];101:[1:14],1,2
17,51,46,51.46.a.b,-16,2,18,28,-1,2:[1:15];5:[1:14];7:[1:0];11:[1:4];13:[1:11];19:[1:6];23:[1:2];29:[1:0];31:[1:15];37:[1:15];41:[1:5];43:[1:6];47:[1:10];53:[1:16];59:[1:5];61:[1:6];67:[1:13];71:[1:4];73:[1:8];79:[1:10];83:[1:14];89:[1:3];97:[1:14];101:[1:2],2,1
17,51,46,51.46.a.b,-15,1,16,28,-1,2:[1:3:8];5:[1:1:7];7:[1:4:16];11:[1:7:5];13:[1:6:12];19:[1:3:10];23:[1:5:16];29:[1:4:10];31:[1:3:8];37:[1:15:13];41:[1:1:8];43:[1:14:12];47:[1:0:11];53:[1:14:4];59:[1:16:7];61:[1:8:6];67:[1:13:9];71:[1:9:9];73:[1:11:14];79:[1:0:10];83:[1:6:4];89:[1:13:7];97:[1:9:6];101:[1:13:14],1,2
17,51,46,51.46.a.b,-1,1,2,28,-1,2:[1:3:8];5:[1:1:7];7:[1:4:16];11:[1:7:5];13:[1:6:12];19:[1:3:10];23:[1:5:16];29:[1:4:10];31:[1:3:8];37:[1:15:13];41:[1:1:8];43:[1:14:12];47:[1:0:11];53:[1:14:4];59:[1:16:7];61:[1:8:6];67:[1:13:9];71:[1:9:9];73:[1:11:14];79:[1:0:10];83:[1:6:4];89:[1:13:7];97:[1:9:6];101:[1:13:14],1,2
17,51,46,51.46.a.b,-17,1,18,28,-1,2:[1:3:8];5:[1:1:7];7:[1:4:16];11:[1:7:5];13:[1:6:12];19:[1:3:10];23:[1:5:16];29:[1:4:10];31:[1:3:8];37:[1:15:13];41:[1:1:8];43:[1:14:12];47:[1:0:11];53:[1:14:4];59:[1:16:7];61:[1:8:6];67:[1:13:9];71:[1:9:9];73:[1:11:14];79:[1:0:10];83:[1:6:4];89:[1:13:7];97:[1:9:6];101:[1:13:14],1,2
3,51,46,51.46.a.c,-11,0,11,5,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,2
3,51,46,51.46.a.c,-6,2,8,5,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,2
3,51,46,51.46.a.c,-11,-2,9,5,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,2
3,51,46,51.46.a.c,-2,-1,1,5,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
3,51,46,51.46.a.c,-7,-2,5,5,-1,2:[1:0];5:[1:0];7:[1:1];11:[1:0];13:[1:1];19:[1:1];23:[1:0];29:[1:0];31:[1:1];37:[1:1];41:[1:0];43:[1:1];47:[1:0];53:[1:0];59:[1:0];61:[1:1];67:[1:1];71:[1:0];73:[1:1];79:[1:1];83:[1:0];89:[1:0];97:[1:1];101:[1:0],1,1
