p,k,Nnew,LMFDB_label,twist,ap_sign,sLinv,sLderiv,sLval,rhobar,epp,fpp
2,2,14,14.2.a.a,5,-1,9999,9999,1,3:[1:0];5:[1:0],1,1
7,2,14,14.2.a.a,1,1,9999,9999,0,3:[1:2];5:[1:0];11:[1:0],1,1
2,4,14,14.4.a.b,-15,1,9999,9999,2,3:[1:0];5:[1:0],1,1
7,4,14,14.4.a.b,-3,1,0,1,1,3:[1:2];5:[1:5];11:[1:1],1,1
2,4,14,14.4.a.a,-3,-1,9999,9999,1,3:[1:0];5:[1:0],1,1
7,4,14,14.4.a.a,-15,-1,0,0,0,3:[1:6];5:[1:0];11:[1:0],1,1
2,22,14,14.22.a.b,17,1,9999,9999,15,3:[1:0];5:[1:0],1,1
2,22,14,14.22.a.b,17,1,-6,5,11,3:[1:0];5:[1:0],1,1
7,22,14,14.22.a.b,29,1,-2,1,3,3:[1:2];5:[1:5];11:[1:1],1,1
7,22,14,14.22.a.b,29,1,-6,3,9,3:[1:5];5:[1:2];11:[1:1],1,1
2,6,14,14.6.a.b,1,1,0,0,0,3:[1:0];5:[1:0],1,1
7,6,14,14.6.a.b,5,-1,0,1,1,3:[1:6];5:[1:4];11:[1:4],1,1
2,6,14,14.6.a.a,5,-1,9999,9999,1,3:[1:0];5:[1:0],1,1
7,6,14,14.6.a.a,1,1,0,0,0,3:[1:4];5:[1:0];11:[1:0],1,1
2,22,14,14.22.a.a,29,-1,-6,4,10,3:[1:0];5:[1:0],1,1
2,22,14,14.22.a.a,29,-1,9999,9999,14,3:[1:0];5:[1:0],1,1
7,22,14,14.22.a.a,17,-1,-6,4,10,3:[1:1];5:[1:0];11:[1:0],1,1
7,22,14,14.22.a.a,17,-1,-4,-1,3,3:[1:6];5:[1:0];11:[1:0],1,1
2,8,14,14.8.a.b,-31,1,9999,9999,5,3:[1:0];5:[1:0],1,1
7,8,14,14.8.a.b,-11,-1,-2,1,3,3:[1:3];5:[1:1];11:[1:2],1,1
2,8,14,14.8.a.a,-3,-1,9999,9999,3,3:[1:0];5:[1:0],1,1
7,8,14,14.8.a.a,-15,-1,0,0,0,3:[1:5];5:[1:0];11:[1:0],1,1
2,8,14,14.8.a.c,-15,1,9999,9999,6,3:[1:0];5:[1:0],1,1
2,8,14,14.8.a.c,-15,1,9999,9999,2,3:[1:0];5:[1:0],1,1
7,8,14,14.8.a.c,-3,1,-2,1,3,3:[1:3];5:[1:1];11:[1:2],1,1
7,8,14,14.8.a.c,-3,1,1,2,1,3:[1:4];5:[1:6];11:[1:2],1,1
2,22,14,14.22.a.d,1,1,-2,-2,0,3:[1:0];5:[1:0],1,1
2,22,14,14.22.a.d,1,1,-6,0,6,3:[1:0];5:[1:0],1,1
2,22,14,14.22.a.d,1,1,-4,4,8,3:[1:0];5:[1:0],1,1
7,22,14,14.22.a.d,5,-1,-2,1,3,3:[1:2];5:[1:5];11:[1:1],1,1
7,22,14,14.22.a.d,5,-1,-6,1,7,3:[1:5];5:[1:2];11:[1:1],1,1
7,22,14,14.22.a.d,5,-1,-1,0,1,3:[1:5];5:[1:2];11:[1:1],1,1
2,22,14,14.22.a.c,5,-1,-4,5,9,3:[1:0];5:[1:0],1,1
2,22,14,14.22.a.c,5,-1,-6,-1,5,3:[1:0];5:[1:0],1,1
2,22,14,14.22.a.c,5,-1,-2,-1,1,3:[1:0];5:[1:0],1,1
7,22,14,14.22.a.c,1,1,-1,-1,0,3:[1:1];5:[1:0];11:[1:0],1,1
7,22,14,14.22.a.c,1,1,-6,0,6,3:[1:1];5:[1:0];11:[1:0],1,1
7,22,14,14.22.a.c,1,1,-4,-1,3,3:[1:6];5:[1:0];11:[1:0],1,1
2,10,14,14.10.a.b,1,1,9999,9999,4,3:[1:0];5:[1:0],1,1
7,10,14,14.10.a.b,5,-1,0,1,1,3:[1:5];5:[1:2];11:[1:1],1,1
2,10,14,14.10.a.a,29,-1,9999,9999,8,3:[1:0];5:[1:0],1,1
7,10,14,14.10.a.a,17,-1,-3,0,3,3:[1:6];5:[1:0];11:[1:0],1,1
2,10,14,14.10.a.c,5,-1,9999,9999,5,3:[1:0];5:[1:0],1,1
2,10,14,14.10.a.c,5,-1,-1,0,1,3:[1:0];5:[1:0],1,1
7,10,14,14.10.a.c,1,1,0,0,0,3:[1:1];5:[1:0];11:[1:0],1,1
7,10,14,14.10.a.c,1,1,-3,0,3,3:[1:6];5:[1:0];11:[1:0],1,1
2,24,14,14.24.a.a,-11,-1,-7,0,7,3:[1:0];5:[1:0],1,1
2,24,14,14.24.a.a,-11,-1,-6,4,10,3:[1:0];5:[1:0],1,1
7,24,14,14.24.a.a,-31,1,-6,2,8,3:[1:3];5:[1:0];11:[1:0],1,1
7,24,14,14.24.a.a,-31,1,-3,1,4,3:[1:4];5:[1:0];11:[1:0],1,1
2,12,14,14.12.a.b,-31,1,-4,2,6,3:[1:0];5:[1:0],1,1
7,12,14,14.12.a.b,-11,-1,-3,0,3,3:[1:6];5:[1:4];11:[1:4],1,1
2,12,14,14.12.a.a,-11,-1,-4,1,5,3:[1:0];5:[1:0],1,1
7,12,14,14.12.a.a,-31,1,-3,1,4,3:[1:4];5:[1:0];11:[1:0],1,1
2,12,14,14.12.a.d,-15,1,9999,9999,7,3:[1:0];5:[1:0],1,1
2,12,14,14.12.a.d,-15,1,-1,1,2,3:[1:0];5:[1:0],1,1
7,12,14,14.12.a.d,-3,1,0,1,1,3:[1:1];5:[1:3];11:[1:4],1,1
7,12,14,14.12.a.d,-3,1,-3,0,3,3:[1:6];5:[1:4];11:[1:4],1,1
2,24,14,14.24.a.c,-31,1,9999,9999,25,3:[1:0];5:[1:0],1,1
2,24,14,14.24.a.c,-31,1,-2,3,5,3:[1:0];5:[1:0],1,1
2,24,14,14.24.a.c,-31,1,-7,1,8,3:[1:0];5:[1:0],1,1
7,24,14,14.24.a.c,-11,-1,-6,1,7,3:[1:1];5:[1:3];11:[1:4],1,1
7,24,14,14.24.a.c,-11,-1,-9,1,10,3:[1:6];5:[1:4];11:[1:4],1,1
7,24,14,14.24.a.c,-11,-1,-4,0,4,3:[1:6];5:[1:4];11:[1:4],1,1
2,12,14,14.12.a.c,-3,-1,-1,0,1,3:[1:0];5:[1:0],1,1
2,12,14,14.12.a.c,-3,-1,-4,0,4,3:[1:0];5:[1:0],1,1
7,12,14,14.12.a.c,-15,-1,0,0,0,3:[1:3];5:[1:0];11:[1:0],1,1
