p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,3,230,3.230.a.a,-58,2,60,5,-1,2:[1:0],1,1
3,3,220,3.220.a.a,-29,4,33,-8,1,2:[1:0],1,1
3,3,230,3.230.a.a,-56,2,58,5,-1,2:[1:0],1,1
3,3,220,3.220.a.a,-12,5,17,-8,1,2:[1:0],1,1
3,3,230,3.230.a.a,-2,4,6,5,-1,2:[1:0],1,1
3,3,220,3.220.a.a,-48,4,52,-8,1,2:[1:0],1,1
3,3,220,3.220.a.a,-50,4,54,-8,1,2:[1:0],1,1
3,3,230,3.230.a.a,-24,2,26,5,-1,2:[1:0],1,1
3,3,220,3.220.a.a,-10,5,15,-8,1,2:[1:0],1,1
3,3,230,3.230.a.a,-37,2,39,5,-1,2:[1:0],1,1
3,3,230,3.230.a.a,-49,1,50,5,-1,2:[1:0],1,1
3,3,230,3.230.a.a,-11,2,13,5,-1,2:[1:0],1,1
3,3,230,3.230.a.a,-31,-1,30,5,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-41,1,42,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-20,1,21,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-24,1,25,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-37,1,38,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-5,1,6,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-55,0,55,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-30,5,35,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-11,3,14,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-49,2,51,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-51,-1,50,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-9,0,9,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-47,-1,46,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-13,0,13,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-33,-1,32,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-28,-1,27,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-4,-2,2,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-39,-1,38,-4,-1,2:[1:0],1,1
3,3,216,3.216.a.b,-22,-1,21,-4,-1,2:[1:0],1,1
3,3,230,3.230.a.b,-32,-4,28,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-30,-4,26,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-14,-1,13,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-46,-2,44,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-9,-1,8,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-51,-2,49,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-39,-2,37,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-22,-2,20,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-4,-4,0,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-57,-3,54,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-42,0,42,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-18,1,19,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-58,0,58,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-56,0,56,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-4,0,4,1,1,2:[1:0],1,1
3,3,230,3.230.a.b,-24,0,24,1,1,2:[1:0],1,1
