p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
3,3,240,3.240.a.b,-42,3,45,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-24,2,26,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-37,1,38,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-12,4,16,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-48,4,52,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-31,1,32,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-20,0,20,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-40,-2,38,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-57,-1,56,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-4,-2,2,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-14,2,16,-4,-1,2:[1:0],1,1
3,3,240,3.240.a.b,-46,1,47,-4,-1,2:[1:0],1,1
