p,Nnew,k,LMFDB_label,sLinv,sLderiv,sLval,twist,ap_sign,rhobar,epp,fpp
13,13,100,13.100.a.a,-10,0,10,-3,1,2:[1:3];3:[1:1];5:[1:4];7:[1:2];11:[1:4],1,1
13,13,96,13.96.a.a,-5,0,5,-3,1,2:[1:12];3:[1:7];5:[1:4];7:[1:11];11:[1:8],1,1
13,13,94,13.94.a.a,-36,2,38,5,-1,2:[1:9];3:[1:1];5:[1:6];7:[1:7];11:[1:10],1,1
13,13,88,13.88.a.b,-3,1,4,-7,-1,2:[1:3];3:[1:1];5:[1:4];7:[1:2];11:[1:4],1,1
13,13,96,13.96.a.a,-41,1,42,-3,1,2:[1:12];3:[1:7];5:[1:4];7:[1:11];11:[1:8],1,1
13,13,94,13.94.a.a,-28,0,28,5,-1,2:[1:11];3:[1:1];5:[1:6];7:[1:10];11:[1:7],1,1
13,13,88,13.88.a.b,-20,1,21,-7,-1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,100,13.100.a.a,-27,0,27,-3,1,2:[1:3];3:[1:1];5:[1:4];7:[1:2];11:[1:4],1,1
13,13,88,13.88.a.b,-29,0,29,-7,-1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,96,13.96.a.a,-32,0,32,-3,1,2:[1:12];3:[1:7];5:[1:4];7:[1:11];11:[1:8],1,1
13,13,94,13.94.a.a,-3,1,4,5,-1,2:[1:11];3:[1:1];5:[1:6];7:[1:10];11:[1:7],1,1
13,13,88,13.88.a.b,-5,1,6,-7,-1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,96,13.96.a.a,-17,1,18,-3,1,2:[1:12];3:[1:7];5:[1:4];7:[1:11];11:[1:8],1,1
13,13,100,13.100.a.a,-39,1,40,-3,1,2:[1:3];3:[1:1];5:[1:4];7:[1:2];11:[1:4],1,1
13,13,94,13.94.a.a,-15,1,16,5,-1,2:[1:11];3:[1:1];5:[1:6];7:[1:10];11:[1:7],1,1
13,13,88,13.88.a.b,-17,1,18,-7,-1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,98,13.98.a.a,-13,1,14,5,-1,2:[1:2];3:[1:8];5:[1:6];7:[1:1];11:[1:3],1,1
13,13,96,13.96.a.a,-8,0,8,-3,1,2:[1:12];3:[1:7];5:[1:4];7:[1:11];11:[1:8],1,1
13,13,88,13.88.a.b,-8,0,8,-7,-1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,94,13.94.a.a,-21,1,22,5,-1,2:[1:11];3:[1:1];5:[1:6];7:[1:10];11:[1:7],1,1
13,13,100,13.100.a.a,-22,1,23,-3,1,2:[1:3];3:[1:1];5:[1:4];7:[1:2];11:[1:4],1,1
13,13,88,13.88.a.b,-32,0,32,-7,-1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,98,13.98.a.a,-23,1,24,5,-1,2:[1:2];3:[1:8];5:[1:6];7:[1:1];11:[1:3],1,1
13,13,94,13.94.a.a,-33,0,33,5,-1,2:[1:11];3:[1:1];5:[1:6];7:[1:10];11:[1:7],1,1
13,13,88,13.88.a.b,-6,2,8,-7,-1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,2
13,13,98,13.98.a.a,-35,0,35,5,-1,2:[1:2];3:[1:8];5:[1:6];7:[1:1];11:[1:3],1,1
13,13,94,13.94.a.a,-40,1,41,5,-1,2:[1:11];3:[1:1];5:[1:6];7:[1:10];11:[1:7],1,1
13,13,100,13.100.a.a,-34,0,34,-3,1,2:[1:3];3:[1:1];5:[1:4];7:[1:2];11:[1:4],1,1
13,13,88,13.88.a.b,-18,2,20,-7,-1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,88,13.88.a.b,-30,1,31,-7,-1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,98,13.98.a.a,-26,0,26,5,-1,2:[1:2];3:[1:8];5:[1:6];7:[1:1];11:[1:3],1,1
13,13,94,13.94.a.a,-9,1,10,5,-1,2:[1:11];3:[1:1];5:[1:6];7:[1:10];11:[1:7],1,1
13,13,88,13.88.a.b,-31,1,32,-7,-1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,100,13.100.a.a,-3,0,3,-3,1,2:[1:3];3:[1:1];5:[1:4];7:[1:2];11:[1:4],1,1
13,13,98,13.98.a.a,-38,1,39,5,-1,2:[1:2];3:[1:8];5:[1:6];7:[1:1];11:[1:3],1,1
13,13,94,13.94.a.a,-36,1,37,5,-1,2:[1:12];3:[1:7];5:[1:9];7:[1:0];11:[1:0],1,2
13,13,88,13.88.a.b,-19,2,21,-7,-1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,88,13.88.a.b,-36,1,37,-7,-1,2:[1:6];3:[1:1];5:[1:4];7:[1:4];11:[1:2],1,1
13,13,94,13.94.a.a,-12,1,13,5,-1,2:[1:12];3:[1:7];5:[1:9];7:[1:0];11:[1:0],1,2
13,13,98,13.98.a.a,-11,1,12,5,-1,2:[1:2];3:[1:8];5:[1:6];7:[1:1];11:[1:3],1,1
13,13,100,13.100.a.a,-14,1,15,-3,1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,88,13.88.a.b,-1,0,1,-7,-1,2:[1:6];3:[1:1];5:[1:4];7:[1:4];11:[1:2],1,1
13,13,94,13.94.a.a,-24,1,25,5,-1,2:[1:12];3:[1:7];5:[1:9];7:[1:0];11:[1:0],1,2
13,13,98,13.98.a.a,-1,1,2,5,-1,2:[1:2];3:[1:8];5:[1:6];7:[1:1];11:[1:3],1,1
13,13,88,13.88.a.b,-24,1,25,-7,-1,2:[1:6];3:[1:1];5:[1:4];7:[1:4];11:[1:2],1,1
13,13,100,13.100.a.a,-23,1,24,-3,1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,94,13.94.a.a,-1,0,1,5,-1,2:[1:12];3:[1:7];5:[1:9];7:[1:0];11:[1:0],1,1
13,13,88,13.88.a.b,-12,1,13,-7,-1,2:[1:6];3:[1:1];5:[1:4];7:[1:4];11:[1:2],1,1
13,13,98,13.98.a.a,-18,1,19,5,-1,2:[1:3];3:[1:9];5:[1:6];7:[1:8];11:[1:12],1,1
13,13,88,13.88.a.b,-31,1,32,-7,-1,2:[1:7];3:[1:1];5:[1:9];7:[1:9];11:[1:11],1,1
13,13,100,13.100.a.a,-38,1,39,-3,1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,98,13.98.a.a,-30,1,31,5,-1,2:[1:3];3:[1:9];5:[1:6];7:[1:8];11:[1:12],1,1
13,13,88,13.88.a.b,-18,2,20,-7,-1,2:[1:7];3:[1:1];5:[1:9];7:[1:9];11:[1:11],1,1
13,13,88,13.88.a.b,-6,2,8,-7,-1,2:[1:7];3:[1:1];5:[1:9];7:[1:9];11:[1:11],1,1
13,13,98,13.98.a.a,-6,1,7,5,-1,2:[1:3];3:[1:9];5:[1:6];7:[1:8];11:[1:12],1,1
13,13,88,13.88.a.b,-36,1,37,-7,-1,2:[1:8];3:[1:7];5:[1:6];7:[1:0];11:[1:0],1,1
13,13,100,13.100.a.a,-26,0,26,-3,1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,98,13.98.a.a,-18,0,18,5,-1,2:[1:4];3:[1:11];5:[1:9];7:[1:0];11:[1:0],1,2
13,13,88,13.88.a.b,-12,1,13,-7,-1,2:[1:8];3:[1:7];5:[1:6];7:[1:0];11:[1:0],1,2
13,13,88,13.88.a.b,-36,1,37,-7,-1,2:[1:8];3:[1:7];5:[1:6];7:[1:0];11:[1:0],1,1
13,13,100,13.100.a.a,-35,0,35,-3,1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,98,13.98.a.a,-31,-1,30,5,-1,2:[1:4];3:[1:11];5:[1:9];7:[1:0];11:[1:0],1,1
13,13,88,13.88.a.b,-24,1,25,-7,-1,2:[1:8];3:[1:7];5:[1:6];7:[1:0];11:[1:0],1,1
13,13,88,13.88.a.b,-1,0,1,-7,-1,2:[1:8];3:[1:7];5:[1:6];7:[1:0];11:[1:0],1,1
13,13,98,13.98.a.a,-6,0,6,5,-1,2:[1:4];3:[1:11];5:[1:9];7:[1:0];11:[1:0],1,1
13,13,100,13.100.a.a,-1,1,2,-3,1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,88,13.88.a.b,-24,1,25,-7,-1,2:[1:8];3:[1:7];5:[1:6];7:[1:0];11:[1:0],1,1
13,13,90,13.90.a.b,-19,2,21,12,1,2:[1:1];3:[1:3];5:[1:6];7:[1:11];11:[1:4],1,1
13,13,98,13.98.a.a,-42,0,42,5,-1,2:[1:4];3:[1:11];5:[1:9];7:[1:0];11:[1:0],1,1
13,13,88,13.88.a.b,-1,1,2,-7,-1,2:[1:9];3:[1:11];5:[1:9];7:[1:6];11:[1:6],1,1
13,13,90,13.90.a.b,-6,2,8,12,1,2:[1:1];3:[1:3];5:[1:6];7:[1:11];11:[1:4],1,1
13,13,100,13.100.a.a,-11,1,12,-3,1,2:[1:4];3:[1:11];5:[1:4];7:[1:7];11:[1:7],1,1
13,13,88,13.88.a.b,-11,1,12,-7,-1,2:[1:9];3:[1:11];5:[1:9];7:[1:6];11:[1:6],1,1
13,13,98,13.98.a.a,-6,0,6,5,-1,2:[1:4];3:[1:11];5:[1:9];7:[1:0];11:[1:0],1,1
13,13,90,13.90.a.b,-31,0,31,12,1,2:[1:1];3:[1:3];5:[1:6];7:[1:11];11:[1:4],1,1
13,13,88,13.88.a.b,-35,1,36,-7,-1,2:[1:9];3:[1:11];5:[1:9];7:[1:6];11:[1:6],1,1
13,13,98,13.98.a.a,-30,-1,29,5,-1,2:[1:4];3:[1:11];5:[1:9];7:[1:0];11:[1:0],1,1
13,13,90,13.90.a.b,-24,1,25,12,1,2:[1:3];3:[1:8];5:[1:4];7:[1:0];11:[1:0],1,2
13,13,100,13.100.a.a,-24,1,25,-3,1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,88,13.88.a.b,-25,1,26,-7,-1,2:[1:9];3:[1:11];5:[1:9];7:[1:6];11:[1:6],1,1
13,13,88,13.88.a.b,-23,1,24,-7,-1,2:[1:9];3:[1:11];5:[1:9];7:[1:6];11:[1:6],1,1
13,13,90,13.90.a.b,-12,1,13,12,1,2:[1:3];3:[1:8];5:[1:4];7:[1:0];11:[1:0],1,2
13,13,98,13.98.a.a,-21,1,22,5,-1,2:[1:5];3:[1:9];5:[1:7];7:[1:9];11:[1:2],1,1
13,13,88,13.88.a.b,-13,1,14,-7,-1,2:[1:9];3:[1:11];5:[1:9];7:[1:6];11:[1:6],1,1
13,13,100,13.100.a.a,-12,1,13,-3,1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,90,13.90.a.b,-36,1,37,12,1,2:[1:3];3:[1:8];5:[1:4];7:[1:0];11:[1:0],1,2
13,13,98,13.98.a.a,-28,0,28,5,-1,2:[1:5];3:[1:9];5:[1:7];7:[1:9];11:[1:2],1,1
13,13,88,13.88.a.b,-2,1,3,-7,-1,2:[1:10];3:[1:1];5:[1:9];7:[1:11];11:[1:9],1,1
13,13,90,13.90.a.b,-1,0,1,12,1,2:[1:3];3:[1:8];5:[1:4];7:[1:0];11:[1:0],1,1
13,13,88,13.88.a.b,-34,0,34,-7,-1,2:[1:10];3:[1:1];5:[1:9];7:[1:11];11:[1:9],1,1
13,13,98,13.98.a.a,-9,0,9,5,-1,2:[1:5];3:[1:9];5:[1:7];7:[1:9];11:[1:2],1,1
13,13,100,13.100.a.a,-36,0,36,-3,1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,90,13.90.a.b,-1,1,2,12,1,2:[1:5];3:[1:7];5:[1:6];7:[1:3];11:[1:1],1,1
13,13,88,13.88.a.b,-22,1,23,-7,-1,2:[1:10];3:[1:1];5:[1:9];7:[1:11];11:[1:9],1,1
13,13,90,13.90.a.b,-11,1,12,12,1,2:[1:5];3:[1:7];5:[1:6];7:[1:3];11:[1:1],1,1
13,13,98,13.98.a.a,-4,0,4,5,-1,2:[1:5];3:[1:9];5:[1:7];7:[1:9];11:[1:2],1,1
13,13,88,13.88.a.b,-27,0,27,-7,-1,2:[1:10];3:[1:1];5:[1:9];7:[1:11];11:[1:9],1,1
13,13,100,13.100.a.a,-37,1,38,-3,1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,90,13.90.a.b,-25,1,26,12,1,2:[1:5];3:[1:7];5:[1:6];7:[1:3];11:[1:1],1,1
13,13,88,13.88.a.b,-10,1,11,-7,-1,2:[1:10];3:[1:1];5:[1:9];7:[1:11];11:[1:9],1,1
13,13,98,13.98.a.a,-40,1,41,5,-1,2:[1:5];3:[1:9];5:[1:7];7:[1:9];11:[1:2],1,1
13,13,88,13.88.a.b,-14,1,15,-7,-1,2:[1:10];3:[1:1];5:[1:9];7:[1:11];11:[1:9],1,1
13,13,90,13.90.a.b,-35,1,36,12,1,2:[1:5];3:[1:7];5:[1:6];7:[1:3];11:[1:1],1,1
13,13,100,13.100.a.a,-1,0,1,-3,1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,98,13.98.a.a,-16,1,17,5,-1,2:[1:5];3:[1:9];5:[1:7];7:[1:9];11:[1:2],1,1
13,13,90,13.90.a.b,-37,1,38,12,1,2:[1:5];3:[1:7];5:[1:6];7:[1:3];11:[1:1],1,1
13,13,90,13.90.a.b,-13,1,14,12,1,2:[1:5];3:[1:7];5:[1:6];7:[1:3];11:[1:1],1,1
13,13,98,13.98.a.a,-33,0,33,5,-1,2:[1:5];3:[1:9];5:[1:7];7:[1:9];11:[1:2],1,1
13,13,100,13.100.a.a,-12,1,13,-3,1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,90,13.90.a.b,-23,1,24,12,1,2:[1:5];3:[1:7];5:[1:6];7:[1:3];11:[1:1],1,1
13,13,98,13.98.a.a,-27,0,27,5,-1,2:[1:8];3:[1:9];5:[1:6];7:[1:4];11:[1:11],1,1
13,13,90,13.90.a.b,-9,1,10,12,1,2:[1:6];3:[1:3];5:[1:7];7:[1:1];11:[1:5],1,1
13,13,100,13.100.a.a,-25,0,25,-3,1,2:[1:5];3:[1:7];5:[1:7];7:[1:0];11:[1:0],1,1
13,13,98,13.98.a.a,-22,1,23,5,-1,2:[1:8];3:[1:9];5:[1:6];7:[1:4];11:[1:11],1,1
13,13,90,13.90.a.b,-3,1,4,12,1,2:[1:6];3:[1:3];5:[1:7];7:[1:1];11:[1:5],1,1
13,13,90,13.90.a.b,-28,0,28,12,1,2:[1:6];3:[1:3];5:[1:7];7:[1:1];11:[1:5],1,1
13,13,98,13.98.a.a,-34,0,34,5,-1,2:[1:8];3:[1:9];5:[1:6];7:[1:4];11:[1:11],1,1
13,13,100,13.100.a.a,-42,1,43,-3,1,2:[1:6];3:[1:1];5:[1:4];7:[1:4];11:[1:2],1,1
13,13,90,13.90.a.b,-21,1,22,12,1,2:[1:6];3:[1:3];5:[1:7];7:[1:1];11:[1:5],1,1
13,13,98,13.98.a.a,-15,1,16,5,-1,2:[1:8];3:[1:9];5:[1:6];7:[1:4];11:[1:11],1,1
13,13,104,13.104.a.a,-16,1,17,-3,1,2:[1:1];3:[1:9];5:[1:4];7:[1:6];11:[1:10],1,1
13,13,90,13.90.a.b,-15,1,16,12,1,2:[1:6];3:[1:3];5:[1:7];7:[1:1];11:[1:5],1,1
